Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
41,Arthur,br BRA,DF,América (MG),19,2003,1.0,2,2.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
42,Arthur,br BRA,"DF,FW",Fluminense,18,2004,0.2,4,18.00,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
43,Artur,br BRA,FW,Palmeiras,24,1998,21.1,89,4.23,66,5,9,3,5,1,4,0.19,4,0,0,0,0,0,Matches
44,Eduard Atuesta,co COL,MF,Palmeiras,25,1997,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
45,Felipe Augusto,br BRA,"FW,MF",Corinthians,18,2004,3.6,4,1.11,2,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
46,Filipe Augusto,br BRA,MF,Cuiabá,29,1993,11.8,23,1.94,14,7,1,0,1,0,1,0.08,1,0,0,0,0,0,Matches
47,Renato Augusto,br BRA,MF,Corinthians,34,1988,14.2,79,5.54,51,15,1,6,4,2,7,0.49,5,1,0,0,1,0,Matches
48,Danilo Avelar,br BRA,DF,América (MG),33,1989,22.0,29,1.32,21,3,0,4,0,1,4,0.18,3,1,0,0,0,0,Matches
49,Felipe Azevedo,br BRA,"FW,MF",América (MG),36,1987,19.4,57,2.90,41,3,2,5,4,2,4,0.20,2,0,1,0,0,1,Matches
50,Matheus Babi,br BRA,FW,Goiás,25,1997,9.8,17,1.74,7,0,0,3,7,0,1,0.10,0,0,0,0,1,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
51,Matheus Bahia,br BRA,"DF,MF",Bahia,23,1999,5.5,13,2.24,11,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
52,Fabián Balbuena,py PAR,DF,Corinthians,31,1991,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
53,Robson Bambu,br BRA,DF,Vasco da Gama,25,1997,14.2,9,0.63,7,1,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
54,Gabriel Baralhas,br BRA,MF,Internacional,24,1998,2.6,3,1.15,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
55,Danilo Barbosa,br BRA,"MF,DF",Botafogo (RJ),26,1996,11.2,13,1.16,13,0,0,0,0,0,3,0.27,3,0,0,0,0,0,Matches
56,Diogo Barbosa,br BRA,DF,Fluminense,30,1992,12.4,28,2.26,24,1,3,0,0,0,2,0.16,2,0,0,0,0,0,Matches
57,Diogo Barbosa,br BRA,DF,Grêmio,30,1992,4.3,12,2.79,7,1,3,0,1,0,0,0.00,0,0,0,0,0,0,Matches
58,Gabriel Barbosa,br BRA,FW,Flamengo,26,1996,17.1,46,2.69,33,6,0,7,0,0,5,0.29,3,0,0,2,0,0,Matches
59,Lucas Barbosa,br BRA,"FW,MF",Santos,21,2001,1.1,2,1.75,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
60,Lucas Barbosa,br BRA,"MF,FW",Coritiba,21,2001,1.1,5,4.41,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
61,Chrystian Barletta,br BRA,MF,Corinthians,21,2001,1.4,,,,,,,,,,,,,,,,,Matches
62,Cauan Barros,br BRA,MF,Vasco da Gama,18,2004,2.6,5,1.90,3,0,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
63,Gabriel Barros,br BRA,"FW,MF",Internacional,21,2001,2.0,6,03.07,6,0,0,0,0,0,1,0.51,1,0,0,0,0,0,Matches
64,Bastos,ao ANG,DF,Botafogo (RJ),31,1991,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
65,Fellipe Bastos,br BRA,MF,Goiás,32,1990,0.4,1,2.50,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
66,Diogo Batista,br BRA,"DF,MF",Coritiba,19,2003,5.9,15,2.54,12,1,0,1,1,0,1,0.17,1,0,0,0,0,0,Matches
67,Rodrigo Battaglia,ar ARG,MF,Atlético Mineiro,31,1991,19.2,18,0.94,17,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
68,José Luis Rodríguez Bebanz,uy URU,DF,Vasco da Gama,25,1997,22.2,59,2.66,40,9,4,4,1,1,3,0.14,3,0,0,0,0,0,Matches
69,Matheus Belém,br BRA,DF,São Paulo,19,2003,1.9,1,0.53,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
70,Lucas Belezi,br BRA,DF,Ath Paranaense,19,2003,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
71,Ramiro Benetti,br BRA,MF,Cruzeiro,29,1993,4.5,8,1.77,7,0,0,1,0,0,1,0.22,1,0,0,0,0,0,Matches
72,Martín Benítez,ar ARG,"MF,FW",América (MG),28,1994,12.4,75,06.03,39,14,9,3,10,0,6,0.48,4,1,0,1,0,0,Matches
73,Bento,br BRA,GK,Ath Paranaense,23,1999,33.0,6,0.18,4,2,0,0,0,0,2,0.06,2,0,0,0,0,0,Matches
74,Lucas Beraldo,br BRA,DF,São Paulo,19,2003,24.0,19,0.79,19,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
75,Lucas Besozzi,ar ARG,"FW,MF",Grêmio,20,2003,4.4,14,3.16,10,0,2,1,1,0,2,0.45,2,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
76,Matheus Bianqui,br BRA,MF,Coritiba,25,1998,15.8,23,1.46,20,0,1,2,0,0,3,0.19,2,0,0,1,0,0,Matches
77,Raul Bicalho,br BRA,DF,Bahia,23,1999,3.6,2,0.56,0,0,0,1,1,0,1,0.28,0,0,0,1,0,0,Matches
78,Matheus Bidu,br BRA,DF,Corinthians,23,1999,18.4,46,2.50,32,9,2,0,2,1,4,0.22,2,0,0,0,1,1,Matches
79,Biel,br BRA,"FW,MF",Bahia,21,2001,15.1,89,5.88,47,12,10,6,13,1,4,0.26,0,1,0,2,1,0,Matches
80,Rafael Bilu,br BRA,FW,Cruzeiro,23,1999,1.0,7,7.33,3,0,3,1,0,0,0,0.00,0,0,0,0,0,0,Matches
81,Guilherme Biro,br BRA,"FW,MF",Corinthians,18,2004,6.4,20,3.16,14,0,2,2,2,0,1,0.16,1,0,0,0,0,0,Matches
82,Bitelo,br BRA,"MF,FW",Grêmio,23,2000,17.2,71,4.12,50,10,6,3,1,1,6,0.35,6,0,0,0,0,0,Matches
83,Paulinho Bóia,br BRA,FW,América (MG),24,1998,1.5,7,4.63,6,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
