Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
344,Jhow,br BRA,DF,América (MG),19,2003,0.2,18,18,100,357,148,5,5,100,11,11,100,2,2,100,0,0,0,0,0,0,0,0,1,Matches
345,Joaquim,br BRA,DF,Santos,24,1998,30.3,860,1195,72,18042,7492,242,291,83.2,499,593,84.1,111,263,42.2,4,2,1.5,2,14,59,3,1,58,Matches
346,John,br BRA,GK,Internacional,26,1996,9,156,221,70.6,3861,2695,48,48,100,69,70,98.6,38,100,38,0,0,0,0,0,3,0,0,0,Matches
347,Felipe Jonatan,br BRA,DF,Santos,24,1998,1,69,81,85.2,1112,552,38,41,92.7,21,28,75,9,10,90,0,0.3,0.2,-0.3,1,6,3,3,9,Matches
348,Jori,br BRA,GK,América (MG),26,1996,11,198,272,72.8,5331,4038,43,43,100,83,83,100,69,143,48.3,0,0,0,0,0,1,0,0,0,Matches
349,Josué,br BRA,MF,Grêmio,17,2005,1.3,36,52,69.2,543,160,19,25,76,16,20,80,1,4,25,0,0,0,0,0,1,0,0,2,Matches
350,Jhonatan Jowjow,br BRA,"MF,FW",Palmeiras,20,2002,9.9,224,300,74.7,4108,1200,93,114,81.6,88,107,82.2,34,57,59.6,1,2.9,1.7,-1.9,24,27,11,2,37,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
351,Daniel Jr,br BRA,MF,Cruzeiro,20,2002,0.3,30,33,90.9,599,94,9,10,90,16,16,100,5,6,83.3,0,0,0.1,0,0,3,3,0,7,Matches
352,Luciano Juba,br BRA,"DF,MF",Bahia,23,1999,7.2,258,365,70.7,4170,1733,134,161,83.2,90,123,73.2,28,59,47.5,2,1.2,1.4,0.8,16,13,7,0,26,Matches
353,Juninho,br BRA,MF,América (MG),35,1987,32.5,699,973,71.8,10503,3674,381,470,81.1,237,332,71.4,44,82,53.7,2,3.5,5,-1.5,42,62,27,7,100,Matches
354,Jussa,br BRA,MF,Cruzeiro,26,1996,19.6,666,801,83.1,11883,3712,261,301,86.7,330,361,91.4,61,98,62.2,0,0.4,0.3,-0.4,12,79,4,1,83,Matches
355,Justen,br BRA,DF,Fluminense,19,2003,0.6,21,24,87.5,322,47,12,13,92.3,6,7,85.7,2,3,66.7,0,0,0,0,0,1,0,0,1,Matches
356,Kaiki,br BRA,"DF,FW",Cruzeiro,19,2003,2.5,71,104,68.3,1305,556,28,36,77.8,38,54,70.4,5,9,55.6,0,0.3,0.1,-0.3,1,4,1,1,3,Matches
357,Kaio,br BRA,"MF,FW",Coritiba,18,2004,9.8,173,246,70.3,2666,882,98,119,82.4,61,88,69.3,11,26,42.3,0,0.6,0.8,-0.6,12,23,11,3,31,Matches
358,Lucas Kal,br BRA,MF,América (MG),26,1996,13.7,499,606,82.3,8673,3219,225,252,89.3,208,240,86.7,50,79,63.3,1,1,0.9,0,11,76,10,2,86,Matches
359,Walter Kannemann,ar ARG,DF,Grêmio,31,1991,26.2,791,1011,78.2,14032,6644,317,369,85.9,402,472,85.2,58,136,42.6,1,0.2,0.2,0.8,7,59,1,0,81,Matches
360,Kanu,br BRA,DF,Bahia,25,1997,32.3,1411,1576,89.5,26677,8849,515,542,95,719,769,93.5,149,213,70,0,0.6,0.9,-0.6,10,75,1,0,101,Matches
361,Alan Kardec,br BRA,"FW,MF",Atlético Mineiro,34,1989,2.9,36,52,69.2,422,104,21,28,75,9,13,69.2,1,1,100,1,0.8,0.6,0.2,3,3,2,0,5,Matches
362,Kauan,br BRA,FW,Fortaleza,17,2005,0.1,4,7,57.1,36,12,4,6,66.7,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
363,Vinicius Kaue,br BRA,"DF,MF",Ath Paranaense,19,2003,3.8,175,222,78.8,2965,1218,85,97,87.6,72,92,78.3,17,24,70.8,0,0,0.2,0,1,16,1,1,12,Matches
364,Kayque,br BRA,MF,Botafogo (RJ),22,2000,0.3,20,22,90.9,338,159,10,11,90.9,7,7,100,2,3,66.7,1,0.4,0.2,0.6,1,7,0,0,7,Matches
365,Renato Kayser,br BRA,"FW,MF",América (MG),26,1996,0.4,10,15,66.7,100,6,7,7,100,2,3,66.7,0,2,0,0,0.1,0,-0.1,1,0,0,0,1,Matches
366,Keiller,br BRA,GK,Internacional,26,1996,10,178,254,70.1,4723,3425,35,35,100,87,88,98.9,54,129,41.9,0,0,0,0,0,2,0,0,0,Matches
367,John Kennedy,br BRA,"FW,MF",Fluminense,20,2002,15.2,224,302,74.2,2819,565,152,180,84.4,49,65,75.4,10,15,66.7,1,2.1,1.1,-1.1,19,14,13,1,30,Matches
368,Keno,br BRA,"FW,MF",Fluminense,33,1989,17.9,429,647,66.3,6342,1846,255,305,83.6,135,203,66.5,25,67,37.3,4,3.7,3.4,0.3,32,21,46,15,53,Matches
369,Kevin,br BRA,"FW,DF",Palmeiras,20,2003,2.6,54,80,67.5,931,193,30,39,76.9,15,22,68.2,7,11,63.6,0,0.3,0,-0.3,1,6,1,0,8,Matches
370,Kevyson,br BRA,DF,Santos,18,2004,10.8,306,439,69.7,4824,1969,153,171,89.5,129,175,73.7,15,51,29.4,0,0.3,0.4,-0.3,8,26,13,5,35,Matches
371,Khellven,br BRA,DF,Ath Paranaense,21,2001,11.1,318,468,67.9,5639,2031,153,182,84.1,122,180,67.8,38,77,49.4,4,2.4,1.8,1.6,18,18,14,9,18,Matches
372,Maurício Kozlinski,br BRA,GK,Fortaleza,31,1991,1,13,16,81.3,212,157,6,6,100,7,7,100,0,3,0,0,0,0,0,0,0,0,0,0,Matches
373,Benjamín Kuscevic,cl CHI,DF,Coritiba,26,1996,22.5,782,952,82.1,15833,5531,234,267,87.6,454,501,90.6,88,165,53.3,0,0,0.2,0,1,36,3,1,50,Matches
374,Derik Lacerda,br BRA,"FW,MF",Cuiabá,23,1999,7.3,129,164,78.7,2077,401,68,81,84,51,58,87.9,8,16,50,1,1.3,0.3,-0.3,8,11,4,0,18,Matches
375,Ignacio Laquintana,uy URU,FW,Bragantino,23,1999,2,44,73,60.3,543,137,27,34,79.4,11,18,61.1,2,7,28.6,0,0,0.1,0,1,1,1,1,2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
376,Thauan Lara,br BRA,"DF,MF",Internacional,19,2004,3.7,168,226,74.3,2729,1096,90,103,87.4,63,80,78.8,12,26,46.2,0,0.2,0.3,-0.2,5,16,4,4,17,Matches
377,Lelê,br BRA,"FW,MF",Fluminense,25,1997,12.7,143,209,68.4,1621,385,105,133,78.9,22,33,66.7,4,9,44.4,2,1.2,0.6,0.8,14,4,7,1,11,Matches
378,Mauricio Lemos,uy URU,DF,Atlético Mineiro,27,1995,24.6,1043,1253,83.2,23092,8490,263,289,91,579,631,91.8,193,305,63.3,0,0,0.2,0,2,78,2,0,71,Matches
379,Marcos Leonardo,br BRA,FW,Santos,19,2003,28.8,313,425,73.6,4576,926,183,240,76.3,101,120,84.2,14,24,58.3,2,2.3,1.9,-0.3,30,21,19,0,51,Matches
380,Lian,br BRA,MF,Grêmio,17,2005,0.1,2,2,100,34,7,1,1,100,1,1,100,0,0,,0,0,0,0,0,1,0,0,0,Matches
381,Lima,br BRA,"MF,FW",Fluminense,26,1996,28.1,1339,1555,86.1,17268,4045,881,938,93.9,367,420,87.4,32,77,41.6,2,1.5,2.3,0.5,23,91,26,4,121,Matches
382,Lucas Lima,br BRA,"MF,FW",Santos,32,1990,24.5,912,1183,77.1,17175,5936,400,450,88.9,328,399,82.2,156,255,61.2,5,5.3,6.1,-0.3,68,122,32,8,176,Matches
383,Leonardo Linck,br BRA,GK,Ath Paranaense,21,2001,5,77,132,58.3,2539,1977,13,13,100,33,33,100,31,85,36.5,0,0,0,0,0,2,0,0,0,Matches
384,Liziero,br BRA,MF,Coritiba,24,1998,6.5,246,309,79.6,4475,1476,104,125,83.2,102,123,82.9,33,43,76.7,0,0.3,0.5,-0.3,5,31,1,0,36,Matches
385,Marcelo Lomba,br BRA,GK,Palmeiras,36,1986,3,74,102,72.5,1857,1244,18,18,100,38,39,97.4,18,44,40.9,0,0,0,0,1,0,0,0,0,Matches
386,José López,ar ARG,"FW,MF",Palmeiras,22,2000,6.6,91,150,60.7,1573,422,47,77,61,35,48,72.9,9,16,56.3,0,0.7,0.6,-0.7,10,12,8,1,19,Matches
387,Luan,br BRA,MF,São Paulo,23,1999,6.8,286,329,86.9,4285,891,154,166,92.8,112,125,89.6,9,14,64.3,0,0,0.2,0,1,22,2,0,19,Matches
388,Lucão,br BRA,DF,Bragantino,24,1998,2.2,61,75,81.3,1342,417,14,18,77.8,36,37,97.3,11,17,64.7,0,0,0,0,0,2,0,0,1,Matches
389,Lucão,br BRA,GK,Bragantino,21,2001,5,113,151,74.8,2571,1564,37,37,100,51,53,96.2,23,58,39.7,0,0,0,0,0,1,0,0,0,Matches
390,Lucas,br BRA,DF,Santos,21,2001,6.8,260,341,76.2,3835,1849,154,177,87,91,119,76.5,10,26,38.5,0,0.2,0.1,-0.2,4,19,2,0,24,Matches
391,Ayrton Lucas,br BRA,DF,Flamengo,25,1997,28.8,1578,1846,85.5,24444,6838,904,966,93.6,548,630,87,96,164,58.5,3,1.3,1.6,1.7,17,138,21,9,137,Matches
392,Jean Lucas,br BRA,MF,Santos,24,1998,20.1,768,951,80.8,14051,4420,324,362,89.5,334,375,89.1,88,145,60.7,3,2,2.9,1,37,86,30,7,130,Matches
393,Jhonny Lucas,br BRA,MF,Goiás,22,2000,0.2,6,9,66.7,96,28,3,5,60,3,3,100,0,1,0,0,0,0,0,1,0,0,0,1,Matches
394,João Lucas,br BRA,DF,Santos,24,1998,9,274,411,66.7,4362,1569,139,158,88,104,145,71.7,22,74,29.7,1,0.6,0.3,0.4,4,19,3,3,19,Matches
395,Ruan Lucas,br BRA,"MF,FW",Coritiba,18,2004,0.3,12,13,92.3,210,64,5,5,100,5,6,83.3,2,2,100,1,0.4,0,0.6,1,1,1,1,2,Matches
396,Ian Luccas,br BRA,MF,Cruzeiro,19,2003,5.3,94,125,75.2,1276,315,52,67,77.6,35,47,74.5,1,2,50,1,0.8,0.6,0.2,5,8,2,0,14,Matches
397,Pedro Luccas,br BRA,GK,Coritiba,19,2004,3,65,99,65.7,2094,1606,8,8,100,25,27,92.6,32,64,50,0,0,0,0,0,0,0,0,0,Matches
398,Luciano,br BRA,"MF,FW",São Paulo,29,1993,23.5,721,892,80.8,12656,2901,340,385,88.3,252,296,85.1,90,114,78.9,2,3.1,3.2,-1.1,23,86,24,4,103,Matches
399,Thomas Luciano,br BRA,DF,Grêmio,21,2002,3.5,85,128,66.4,1127,412,54,65,83.1,23,37,62.2,3,11,27.3,0,0,0.1,0,0,3,0,0,5,Matches
400,Luis,br BRA,FW,Cruzeiro,17,2005,0.1,2,5,40,27,1,1,3,33.3,1,2,50,0,0,,0,0,0,0,1,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
401,Filipe Luís,br BRA,DF,Flamengo,37,1985,5.9,376,405,92.8,5868,1732,213,221,96.4,128,140,91.4,27,31,87.1,1,0.2,0.3,0.8,3,37,4,1,30,Matches
402,Victor Luis,br BRA,DF,Coritiba,29,1993,17.4,646,867,74.5,11250,4622,306,347,88.2,279,348,80.2,54,136,39.7,1,1.6,1.1,-0.6,16,54,14,8,68,Matches
403,David Luiz,br BRA,DF,Flamengo,35,1987,11,633,729,86.8,12000,4434,235,257,91.4,329,358,91.9,59,97,60.8,1,0.5,0.7,0.5,3,82,6,1,66,Matches
404,Wallisson Luiz,br BRA,MF,Cruzeiro,25,1997,4.4,128,161,79.5,2244,598,62,75,82.7,44,50,88,17,20,85,0,0.1,0.1,-0.1,3,15,2,0,22,Matches
405,Machado,br BRA,MF,Cruzeiro,27,1996,25.3,1052,1271,82.8,21893,5869,328,377,87,536,590,90.8,177,266,66.5,3,1.8,1.2,1.2,31,126,8,0,149,Matches
406,Imanol Machuca,ar ARG,FW,Fortaleza,23,2000,7.5,202,268,75.4,3388,768,113,124,91.1,58,75,77.3,24,41,58.5,0,1.3,1.1,-1.3,20,17,9,4,17,Matches
407,Mádson,br BRA,"DF,MF",Ath Paranaense,31,1992,14.8,356,519,68.6,6141,2162,167,203,82.3,155,222,69.8,30,72,41.7,2,3.8,3.2,-1.8,19,24,13,4,45,Matches
408,João Magno,br BRA,FW,Goiás,25,1997,10.9,99,156,63.5,1362,371,56,82,68.3,29,41,70.7,6,9,66.7,1,0.8,1.2,0.2,9,6,6,1,12,Matches
409,Maguinho,br BRA,DF,Goiás,30,1993,31.7,866,1229,70.5,13913,5195,458,541,84.7,332,475,69.9,61,148,41.2,0,1.2,1.2,-1.2,19,59,8,2,74,Matches
410,Pablo Maia,br BRA,MF,São Paulo,21,2002,28.7,1538,1716,89.6,27905,6307,652,690,94.5,678,729,93,178,226,78.8,0,1.3,1.7,-1.3,27,146,9,0,128,Matches
411,Thiago Maia,br BRA,MF,Flamengo,25,1997,23.3,1266,1447,87.5,20007,5533,667,720,92.6,496,550,90.2,74,121,61.2,0,0.2,0.9,-0.2,10,147,9,1,130,Matches
412,Maicon,br BRA,DF,Santos,34,1988,0.5,12,17,70.6,201,99,5,5,100,5,6,83.3,1,4,25,0,0,0,0,0,0,0,0,0,Matches
413,Maicon,br BRA,DF,Vasco da Gama,34,1988,13.9,578,686,84.3,12865,5354,163,173,94.2,289,319,90.6,123,182,67.6,2,0.9,0.2,1.1,4,40,3,2,32,Matches
414,Iago Maidana,br BRA,DF,América (MG),26,1996,24,578,775,74.6,11891,4920,176,213,82.6,311,375,82.9,85,159,53.5,0,0.1,0.1,-0.1,4,40,1,1,54,Matches
415,Hugo Mallo,es ESP,DF,Internacional,31,1991,3.6,218,260,83.8,3834,1222,88,99,88.9,114,134,85.1,14,24,58.3,0,0.1,0.1,-0.1,1,11,1,0,17,Matches
416,Léo Mana,br BRA,DF,Corinthians,18,2004,1.5,82,101,81.2,1326,261,40,45,88.9,34,44,77.3,6,7,85.7,0,0,0,0,0,7,0,0,7,Matches
417,Alef Manga,br BRA,"FW,MF",Coritiba,28,1994,8.9,190,248,76.6,2772,492,115,140,82.1,51,66,77.3,16,21,76.2,3,1,0.8,2,18,9,7,1,17,Matches
418,Manoel,br BRA,DF,Fluminense,32,1990,3.2,194,210,92.4,3244,1279,98,104,94.2,72,77,93.5,17,21,81,0,0,0,0,0,13,0,0,6,Matches
419,Fernando Marçal,br BRA,DF,Botafogo (RJ),33,1989,18.1,794,1070,74.2,14188,6299,367,415,88.4,327,404,80.9,85,198,42.9,3,1.3,1.6,1.7,27,69,7,4,83,Matches
420,Marcelo,br BRA,DF,Fluminense,34,1988,14.7,889,1127,78.9,14871,5457,477,523,91.2,302,364,83,93,188,49.5,1,3.7,4.4,-2.7,42,97,28,10,151,Matches
421,Marcelo,br BRA,DF,Fortaleza,27,1996,12,359,443,81,7160,3156,128,143,89.5,179,213,84,47,78,60.3,0,0.3,0.5,-0.3,2,17,0,0,19,Matches
422,João Marcelo,br BRA,DF,Cruzeiro,22,2000,1.8,103,112,92,1940,817,43,46,93.5,49,52,94.2,10,13,76.9,0,0,0,0,0,9,0,0,16,Matches
423,Marcinho,br BRA,DF,América (MG),26,1996,8.9,317,474,66.9,5899,2388,135,158,85.4,133,179,74.3,39,110,35.5,0,0.9,1.3,-0.9,8,32,16,8,40,Matches
424,Erick Marcus,br BRA,"MF,FW",Vasco da Gama,18,2004,4.4,134,182,73.6,2267,481,73,90,81.1,46,56,82.1,13,26,50,1,0.6,0.9,0.4,7,9,10,8,16,Matches
425,Mariano,br BRA,DF,Atlético Mineiro,36,1986,17.4,853,1100,77.5,16596,6806,332,375,88.5,385,463,83.2,126,214,58.9,1,0.4,0.9,0.6,11,99,16,9,88,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
426,Marinho,br BRA,"FW,DF",Flamengo,32,1990,0.9,42,54,77.8,743,100,17,20,85,21,25,84,4,6,66.7,0,0.1,0.2,-0.1,1,1,1,0,1,Matches
427,Marinho,br BRA,"FW,MF",Fortaleza,32,1990,12.7,220,329,66.9,4129,1173,99,111,89.2,80,118,67.8,35,68,51.5,1,1.8,1.4,-0.8,23,21,14,7,36,Matches
428,Marlon,br BRA,DF,Cruzeiro,25,1997,35.5,1681,2197,76.5,31315,11338,701,818,85.7,766,913,83.9,195,364,53.6,2,3.9,4.4,-1.9,57,155,32,27,170,Matches
429,Marlon,br BRA,DF,América (MG),28,1994,18.6,674,877,76.9,10871,4449,367,415,88.4,239,297,80.5,51,108,47.2,1,0.8,0.9,0.2,19,54,13,7,71,Matches
430,Marlon,br BRA,DF,Fluminense,27,1995,10.4,740,802,92.3,12713,4261,343,359,95.5,345,361,95.6,47,69,68.1,0,0.4,0.3,-0.4,4,45,4,0,47,Matches
431,Igor Marques,br BRA,DF,Cruzeiro,24,1999,1.3,56,83,67.5,905,378,26,34,76.5,26,37,70.3,3,5,60,1,0.4,0.2,0.6,4,2,4,4,10,Matches
432,Renato Marques,br BRA,"FW,MF",América (MG),19,2003,5.7,73,118,61.9,1060,257,42,57,73.7,26,39,66.7,2,8,25,1,0.6,0.5,0.4,5,5,3,0,9,Matches
433,Juan Martín Lucero,ar ARG,FW,Fortaleza,31,1991,23,253,349,72.5,3356,786,157,193,81.3,63,85,74.1,14,26,53.8,0,1.2,1.1,-1.2,16,17,11,1,34,Matches
434,Martinelli,br BRA,"MF,DF",Fluminense,21,2001,20.9,1415,1519,93.2,21636,5783,730,772,94.6,582,605,96.2,63,76,82.9,2,1.4,1.7,0.6,20,151,9,1,105,Matches
435,Andre Martins,br BRA,"FW,MF",Grêmio,21,2001,4.1,107,141,75.9,1332,264,60,77,77.9,36,41,87.8,1,2,50,0,0.7,0.3,-0.7,5,4,2,0,16,Matches
436,Gustavo Martins Santos,br BRA,"DF,MF",Grêmio,20,2002,7.7,360,436,82.6,6979,2650,116,138,84.1,199,221,90,39,61,63.9,1,0.2,0.3,0.8,2,30,3,0,41,Matches
437,Gonzalo Mastriani,uy URU,FW,América (MG),29,1993,19.9,198,316,62.7,2522,484,126,179,70.4,42,72,58.3,10,19,52.6,1,1.5,1.1,-0.5,14,15,8,0,23,Matches
438,Matheusinho,br BRA,"MF,FW",América (MG),24,1998,2.5,73,103,70.9,1179,431,33,39,84.6,34,46,73.9,5,9,55.6,0,0.4,0.3,-0.4,7,10,3,1,14,Matches
439,Matheusinho,br BRA,DF,Cuiabá,24,1998,4.8,170,232,73.3,2520,1245,101,113,89.4,58,76,76.3,8,34,23.5,0,0.5,0.2,-0.5,6,14,5,3,24,Matches
440,Matheuzinho,br BRA,DF,Flamengo,22,2000,6.9,333,397,83.9,5644,1683,158,175,90.3,151,164,92.1,21,41,51.2,0,0.3,0.5,-0.3,4,35,6,2,32,Matches
441,Mauricio,br BRA,"FW,MF",Internacional,21,2001,19.6,613,768,79.8,8907,2080,360,407,88.5,210,255,82.4,26,56,46.4,6,3.8,3.3,2.2,28,53,22,3,75,Matches
442,Maycon,br BRA,MF,Corinthians,25,1997,26.7,1239,1482,83.6,21970,6030,533,590,90.3,566,627,90.3,116,200,58,3,1.7,1.6,1.3,21,155,18,2,163,Matches
443,Mayke,br BRA,"DF,FW",Palmeiras,30,1992,27.8,1361,1656,82.2,23911,8170,625,676,92.5,569,686,82.9,142,208,68.3,6,4.3,4.1,1.7,41,103,39,25,144,Matches
444,Gary Medel,cl CHI,"DF,MF",Vasco da Gama,35,1987,19.2,1010,1090,92.7,19538,6626,329,341,96.5,555,584,95,117,150,78,0,0.1,0.2,-0.1,4,63,2,0,59,Matches
445,Bruno Melo,br BRA,DF,Goiás,30,1992,32.1,1237,1436,86.1,25988,9635,367,397,92.4,668,715,93.4,193,292,66.1,1,0.3,0.5,0.7,8,86,7,0,92,Matches
446,Felipe Melo,br BRA,DF,Fluminense,39,1983,11,758,846,89.6,14107,5419,322,338,95.3,331,353,93.8,92,135,68.1,0,0.1,0.1,-0.1,2,79,1,0,47,Matches
447,Darlan Mendes,br BRA,MF,Grêmio,24,1998,0.5,16,18,88.9,342,92,4,5,80,9,10,90,3,3,100,0,0,0,0,1,3,0,0,1,Matches
448,Matheus Mendes,br BRA,GK,Atlético Mineiro,23,1999,2,40,66,60.6,1507,1343,6,6,100,9,10,90,25,50,50,0,0,0,0,1,1,0,0,0,Matches
449,Nathan Mendes,br BRA,DF,São Paulo,20,2002,13.1,673,814,82.7,10508,2881,349,395,88.4,268,315,85.1,35,56,62.5,0,0.4,0.6,-0.4,8,41,5,2,51,Matches
450,Vitor Mendes,br BRA,DF,Fluminense,23,1999,1.2,54,60,90,881,214,26,26,100,26,28,92.9,2,5,40,0,0,0,0,1,1,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
451,Bruno Méndez,uy URU,DF,Corinthians,23,1999,18.3,786,984,79.9,14923,6083,296,335,88.4,392,464,84.5,89,154,57.8,0,0.2,0.4,-0.2,7,60,6,3,62,Matches
452,Jhegson Méndez,ec ECU,MF,São Paulo,25,1997,4.1,188,214,87.9,3070,708,103,111,92.8,72,77,93.5,12,19,63.2,0,0.1,0.1,-0.1,4,25,1,0,15,Matches
453,Óscar Méndez,uy URU,MF,América (MG),28,1994,2.9,57,74,77,869,314,28,33,84.8,20,26,76.9,5,9,55.6,0,0,0,0,0,7,0,0,6,Matches
454,Stiven Mendoza,co COL,"FW,MF",Santos,30,1992,18.6,464,613,75.7,6811,1935,282,325,86.8,138,173,79.8,23,48,47.9,2,1.7,2,0.3,19,32,20,5,73,Matches
455,Gabriel Menino,br BRA,MF,Palmeiras,22,2000,17.7,940,1153,81.5,18930,5110,335,382,87.7,442,498,88.8,154,227,67.8,3,1.3,1.4,1.7,31,117,16,5,137,Matches
456,Gabriel Mercado,ar ARG,DF,Internacional,35,1987,24.2,1013,1127,89.9,19261,7853,332,350,94.9,593,625,94.9,83,135,61.5,0,0.3,0.4,-0.3,5,50,1,1,39,Matches
457,Higor Meritão,br BRA,MF,Goiás,28,1994,2.5,87,101,86.1,1277,476,42,46,91.3,38,43,88.4,3,6,50,0,0,0,0,0,6,0,0,8,Matches
458,Messias,br BRA,DF,Santos,28,1994,26.6,640,853,75,13107,4326,151,187,80.7,420,493,85.2,61,149,40.9,0,0.1,0.1,-0.1,1,21,0,0,31,Matches
459,Bruno Mezenga,br BRA,"FW,MF",Santos,34,1988,1.9,50,76,65.8,659,79,31,43,72.1,14,19,73.7,1,1,100,0,0,0,0,0,4,0,0,5,Matches
460,Carlos Miguel,br BRA,GK,Corinthians,24,1998,1.2,34,42,81,955,639,6,6,100,15,15,100,13,21,61.9,0,0,0,0,0,0,0,0,0,Matches
461,Fernando Miguel,br BRA,GK,Fortaleza,37,1985,5.1,78,116,67.2,2139,1597,16,16,100,34,34,100,25,62,40.3,0,0,0,0,0,3,0,0,0,Matches
462,Mikael,br BRA,FW,América (MG),23,1999,1.7,19,25,76,222,18,9,12,75,7,8,87.5,0,0,,0,0.2,0.1,-0.2,2,0,0,0,1,Matches
463,Lucas Milla,br BRA,MF,Grêmio,20,2003,3.4,94,143,65.7,1587,386,49,65,75.4,30,46,65.2,10,17,58.8,0,0,0.1,0,1,13,0,0,15,Matches
464,Mina,br BRA,DF,Goiás,19,2003,0.5,11,17,64.7,198,28,3,3,100,8,10,80,0,4,0,0,0,0,0,0,0,0,0,0,Matches
465,Lucas Mineiro,br BRA,MF,Cuiabá,26,1996,6.8,185,225,82.2,3048,815,89,100,89,78,91,85.7,15,22,68.2,0,0.4,0.2,-0.4,6,21,3,1,22,Matches
466,Vinicius Mingotti,br BRA,FW,Bahia,23,2000,7.3,64,85,75.3,828,105,38,46,82.6,19,23,82.6,1,2,50,0,0.6,0.5,-0.6,7,3,1,0,5,Matches
467,Miranda,br BRA,DF,Vasco da Gama,23,2000,4.3,200,231,86.6,3669,1578,70,76,92.1,110,119,92.4,17,29,58.6,0,0.3,0.2,-0.3,4,19,4,1,19,Matches
468,Moises,br BRA,"MF,FW",Fortaleza,26,1996,4.1,92,120,76.7,1612,332,43,51,84.3,39,48,81.3,9,12,75,0,0.7,0.4,-0.7,6,6,5,2,9,Matches
469,Rodrigo Moledo,br BRA,DF,Internacional,35,1987,5.3,274,298,91.9,4517,1680,121,124,97.6,143,150,95.3,9,19,47.4,0,0.1,0.1,-0.1,2,11,0,0,9,Matches
470,Rafael Monteiro,br BRA,MF,Fluminense,18,2004,0,4,5,80,56,33,2,2,100,2,3,66.7,0,0,,0,0,0,0,0,1,0,0,1,Matches
471,Júnior Moraes,ua UKR,DF,Corinthians,35,1987,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
472,João Moreira,pt POR,DF,São Paulo,18,2004,0.8,46,50,92,651,126,26,27,96.3,20,22,90.9,0,1,0,0,0,0,0,0,3,1,0,4,Matches
473,Everton Morelli,br BRA,MF,Goiás,25,1997,28.7,796,979,81.3,13551,3625,354,397,89.2,355,405,87.7,64,111,57.7,0,0.9,0.9,-0.9,17,75,7,3,94,Matches
474,Alfredo Morelos,co COL,"FW,MF",Santos,26,1996,0.9,31,44,70.5,456,109,22,24,91.7,6,10,60,3,4,75,0,0.2,0.1,-0.2,3,3,0,0,3,Matches
475,Marcelino Moreno,ar ARG,MF,Coritiba,28,1994,25.6,712,971,73.3,11965,3840,385,430,89.5,234,298,78.5,76,183,41.5,4,4.9,5.6,-0.9,55,89,49,14,102,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
476,Gabriel Moscardo,br BRA,MF,Corinthians,17,2005,12.6,456,542,84.1,7977,1722,200,229,87.3,206,230,89.6,42,57,73.7,1,0.9,0.7,0.1,2,44,4,1,28,Matches
477,Henry Mosquera,co COL,"FW,MF",Bragantino,21,2001,11.8,267,363,73.6,3562,803,178,206,86.4,68,104,65.4,9,20,45,2,2.6,2.9,-0.6,24,13,15,4,31,Matches
478,Gustavo Mosquito,br BRA,"FW,MF",Corinthians,25,1997,3.4,88,106,83,1312,331,51,57,89.5,31,38,81.6,5,8,62.5,0,0.3,0.7,-0.3,3,5,2,2,5,Matches
479,Hugo Moura,br BRA,MF,Ath Paranaense,25,1998,14.7,525,625,84,9828,2823,230,261,88.1,230,255,90.2,60,86,69.8,0,0.2,0.7,-0.2,4,55,6,1,55,Matches
