Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
265,Maurício Garcez,br BRA,"MF,FW",Coritiba,25,1997,6.6,92,137,67.2,1175,302,66,77,85.7,23,40,57.5,2,7,28.6,0,0.3,0.3,-0.3,5,7,4,3,11,Matches
266,García,br BRA,DF,Palmeiras,21,2002,3.3,134,183,73.2,2514,967,56,62,90.3,61,78,78.2,14,35,40,0,0.1,0.1,-0.1,3,9,2,2,7,Matches
267,Bryan García,ec ECU,MF,Ath Paranaense,22,2001,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
268,Luan Garcia,br BRA,DF,Palmeiras,29,1993,20.2,880,1036,84.9,21298,7748,140,151,92.7,528,567,93.1,209,297,70.4,1,0.6,0.6,0.4,6,87,4,2,80,Matches
269,Rafael Gava,br BRA,MF,Cuiabá,29,1993,0.2,5,6,83.3,71,32,4,4,100,1,2,50,0,0,,0,0.1,0,-0.1,2,0,0,0,0,Matches
270,Pedro Geromel,br BRA,DF,Grêmio,37,1985,5.2,195,232,84.1,3868,1486,53,56,94.6,120,132,90.9,22,40,55,0,0,0,0,0,4,0,0,7,Matches
271,Gerson,br BRA,MF,Flamengo,25,1997,29.9,1305,1521,85.8,19619,4789,761,835,91.1,421,471,89.4,80,105,76.2,8,5.4,5,2.6,61,140,39,7,178,Matches
272,Gil,br BRA,DF,Corinthians,35,1987,32,1284,1458,88.1,24897,9602,400,434,92.2,762,810,94.1,113,193,58.5,2,1.4,1.1,0.6,3,38,3,0,44,Matches
273,Gilberto,br BRA,FW,Cruzeiro,33,1989,12.1,200,266,75.2,2591,461,117,144,81.3,52,69,75.4,9,12,75,1,0.9,0.5,0.1,8,11,2,1,12,Matches
274,Gilberto,br BRA,DF,Bahia,29,1993,20.6,979,1204,81.3,15825,5467,518,575,90.1,370,441,83.9,72,120,60,2,1.3,2.1,0.7,15,92,31,11,120,Matches
275,Giovane,br BRA,FW,Corinthians,19,2003,1.5,19,27,70.4,252,9,13,14,92.9,1,3,33.3,2,4,50,0,0,0,0,0,1,0,0,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
276,Giovani,br BRA,FW,Palmeiras,19,2004,0.2,4,9,44.4,87,27,2,3,66.7,1,3,33.3,1,2,50,0,0,0,0,0,1,0,0,2,Matches
277,Giovanni,br BRA,"MF,DF",Fluminense,21,2002,1.1,75,88,85.2,864,146,57,64,89.1,13,14,92.9,1,2,50,0,0.3,0.2,-0.3,2,3,1,1,2,Matches
278,Bruno Gomes,br BRA,MF,Coritiba,21,2001,24.4,682,901,75.7,10843,3585,337,404,83.4,266,320,83.1,46,105,43.8,1,2.1,1.1,-1.1,28,91,11,2,115,Matches
279,Igor Gomes,br BRA,"MF,FW",Atlético Mineiro,23,1999,15.3,523,706,74.1,8869,2142,245,294,83.3,201,248,81,58,110,52.7,2,3.2,2.8,-1.2,30,43,21,5,67,Matches
280,Igor Gomes,br BRA,DF,Internacional,21,2001,16.3,829,1040,79.7,14920,4872,356,395,90.1,391,456,85.7,75,146,51.4,0,0.3,0.5,-0.3,5,43,3,2,53,Matches
281,Marlon Gomes,br BRA,MF,Vasco da Gama,19,2003,12.7,,,,,,,,,,,,,,,1,,,,,,,,,Matches
282,William Gomes,br BRA,FW,São Paulo,16,2006,0.8,9,18,50,217,96,3,3,100,3,4,75,3,10,30,0,0.1,0,-0.1,1,1,2,1,2,Matches
283,Gustavo Gómez,py PAR,DF,Palmeiras,29,1993,30.7,1393,1676,83.1,27579,10408,404,463,87.3,816,909,89.8,151,260,58.1,3,2.8,1.9,0.2,12,84,3,3,86,Matches
