Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
42,Arthur,br BRA,"DF,FW",Fluminense,18,2004,0.2,2,1,1,0,1,2,2,100.0,0,0,0,0,0,2,0,0,Matches
43,Artur,br BRA,FW,Palmeiras,24,1998,21.1,19,10,10,6,3,10,36,27.8,26,22,0,22,7,26,14,0,Matches
44,Eduard Atuesta,co COL,MF,Palmeiras,25,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
45,Felipe Augusto,br BRA,"FW,MF",Corinthians,18,2004,3.6,5,2,3,2,0,2,10,20.0,8,10,2,8,1,6,2,0,Matches
46,Filipe Augusto,br BRA,MF,Cuiabá,29,1993,11.8,26,15,13,10,3,15,36,41.7,21,18,11,7,7,33,24,0,Matches
47,Renato Augusto,br BRA,MF,Corinthians,34,1988,14.2,17,8,5,10,2,3,11,27.3,8,7,2,5,8,25,10,0,Matches
48,Danilo Avelar,br BRA,DF,América (MG),33,1989,22.0,35,22,15,18,2,17,31,54.8,14,20,10,10,35,70,72,0,Matches
49,Felipe Azevedo,br BRA,"FW,MF",América (MG),36,1987,19.4,17,10,7,5,5,11,26,42.3,15,16,3,13,10,27,17,0,Matches
50,Matheus Babi,br BRA,FW,Goiás,25,1997,9.8,7,4,1,4,2,4,11,36.4,7,6,1,5,1,8,10,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Matheus Bahia,br BRA,"DF,MF",Bahia,23,1999,5.5,16,7,8,5,3,7,18,38.9,11,8,0,8,8,24,15,0,Matches
52,Fabián Balbuena,py PAR,DF,Corinthians,31,1991,1.0,1,0,1,0,0,1,1,100.0,0,0,0,0,3,4,5,1,Matches
53,Robson Bambu,br BRA,DF,Vasco da Gama,25,1997,14.2,21,13,15,5,1,13,28,46.4,15,27,16,11,12,33,70,1,Matches
54,Gabriel Baralhas,br BRA,MF,Internacional,24,1998,2.6,7,5,3,4,0,5,8,62.5,3,4,1,3,5,12,2,0,Matches
55,Danilo Barbosa,br BRA,"MF,DF",Botafogo (RJ),26,1996,11.2,18,9,10,5,3,5,12,41.7,7,16,7,9,16,34,37,0,Matches
56,Diogo Barbosa,br BRA,DF,Fluminense,30,1992,12.4,16,11,7,7,2,8,20,40.0,12,5,1,4,10,26,28,0,Matches
57,Diogo Barbosa,br BRA,DF,Grêmio,30,1992,4.3,4,4,1,3,0,3,9,33.3,6,5,3,2,5,9,14,0,Matches
58,Gabriel Barbosa,br BRA,FW,Flamengo,26,1996,17.1,3,1,1,1,1,1,15,6.7,14,1,0,1,2,5,0,0,Matches
59,Lucas Barbosa,br BRA,"FW,MF",Santos,21,2001,1.1,12,5,3,9,0,6,11,54.5,5,8,3,5,2,14,3,0,Matches
60,Lucas Barbosa,br BRA,"MF,FW",Coritiba,21,2001,1.1,4,2,1,2,1,1,2,50.0,1,2,0,2,2,6,3,0,Matches
61,Chrystian Barletta,br BRA,MF,Corinthians,21,2001,1.4,,3,,,,,,,,,,,1,,,,Matches
62,Cauan Barros,br BRA,MF,Vasco da Gama,18,2004,2.6,6,3,0,5,1,4,12,33.3,8,3,0,3,1,7,9,0,Matches
63,Gabriel Barros,br BRA,"FW,MF",Internacional,21,2001,2.0,2,1,1,1,0,0,0,,0,0,0,0,2,4,2,0,Matches
64,Bastos,ao ANG,DF,Botafogo (RJ),31,1991,1.3,4,2,1,2,1,2,3,66.7,1,4,1,3,0,4,4,0,Matches
65,Fellipe Bastos,br BRA,MF,Goiás,32,1990,0.4,1,0,1,0,0,1,1,100.0,0,1,1,0,1,2,0,0,Matches
66,Diogo Batista,br BRA,"DF,MF",Coritiba,19,2003,5.9,13,5,8,2,3,8,17,47.1,9,10,2,8,2,15,19,0,Matches
