Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
61,Chrystian Barletta,br BRA,MF,Corinthians,21,2001,1.4,0,3,1,33.3,2.13,0.71,0.00,0.00,,,0,0,,,,,,Matches
62,Cauan Barros,br BRA,MF,Vasco da Gama,18,2004,2.6,1,5,1,20.0,1.90,0.38,0.20,1.00,13.3,0,0,0,0.3,0.3,0.07,#ERROR!,#ERROR!,Matches
63,Gabriel Barros,br BRA,"FW,MF",Internacional,21,2001,2.0,0,2,0,0.0,01.02,0.00,0.00,,16.7,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
64,Bastos,ao ANG,DF,Botafogo (RJ),31,1991,1.3,0,1,0,0.0,0.76,0.00,0.00,,8.9,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
65,Fellipe Bastos,br BRA,MF,Goiás,32,1990,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
66,Diogo Batista,br BRA,"DF,MF",Coritiba,19,2003,5.9,0,6,2,33.3,01.02,0.34,0.00,0.00,29.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
67,Rodrigo Battaglia,ar ARG,MF,Atlético Mineiro,31,1991,19.2,0,17,3,17.6,0.89,0.16,0.00,0.00,18.7,0,0,0,0.9,0.9,0.05,-0.9,-0.9,Matches
68,José Luis Rodríguez Bebanz,uy URU,DF,Vasco da Gama,25,1997,22.2,2,38,13,34.2,1.71,0.59,0.05,0.15,18.7,5,0,0,2.8,2.8,0.08,-0.8,-0.8,Matches
69,Matheus Belém,br BRA,DF,São Paulo,19,2003,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
70,Lucas Belezi,br BRA,DF,Ath Paranaense,19,2003,0.5,0,1,0,0.0,2.00,0.00,0.00,,15.7,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
71,Ramiro Benetti,br BRA,MF,Cruzeiro,29,1993,4.5,1,6,2,33.3,1.33,0.44,0.17,0.50,18.5,0,0,0,0.8,0.8,0.13,#ERROR!,#ERROR!,Matches
72,Martín Benítez,ar ARG,"MF,FW",América (MG),28,1994,12.4,3,36,10,27.8,2.89,0.80,0.08,0.30,24.5,6,0,0,2.6,2.6,0.08,#ERROR!,#ERROR!,Matches
73,Bento,br BRA,GK,Ath Paranaense,23,1999,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
74,Lucas Beraldo,br BRA,DF,São Paulo,19,2003,24.0,1,14,6,42.9,0.58,0.25,0.07,0.17,15.2,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches
75,Lucas Besozzi,ar ARG,"FW,MF",Grêmio,20,2003,4.4,1,6,5,83.3,1.35,1.13,0.17,0.20,18.6,0,0,0,0.3,0.3,0.05,#ERROR!,#ERROR!,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
76,Matheus Bianqui,br BRA,MF,Coritiba,25,1998,15.8,2,29,8,27.6,1.84,0.51,0.07,0.25,20.3,0,0,0,1.7,1.7,0.06,#ERROR!,#ERROR!,Matches
77,Raul Bicalho,br BRA,DF,Bahia,23,1999,3.6,0,4,0,0.0,1.12,0.00,0.00,,10.4,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
78,Matheus Bidu,br BRA,DF,Corinthians,23,1999,18.4,0,16,6,37.5,0.87,0.33,0.00,0.00,24.1,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
79,Biel,br BRA,"FW,MF",Bahia,21,2001,15.1,5,46,15,32.6,03.04,0.99,0.11,0.33,17.8,1,0,0,5.2,5.2,0.11,-0.2,-0.2,Matches
80,Rafael Bilu,br BRA,FW,Cruzeiro,23,1999,1.0,0,4,0,0.0,4.19,0.00,0.00,,19.0,0,0,0,0.7,0.7,0.17,-0.7,-0.7,Matches
81,Guilherme Biro,br BRA,"FW,MF",Corinthians,18,2004,6.4,0,14,3,21.4,2.20,0.47,0.00,0.00,20.6,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
82,Bitelo,br BRA,"MF,FW",Grêmio,23,2000,17.2,4,31,7,22.6,1.80,0.41,0.13,0.57,18.8,1,0,0,3.6,3.6,0.12,#ERROR!,#ERROR!,Matches
83,Paulinho Bóia,br BRA,FW,América (MG),24,1998,1.5,0,1,0,0.0,0.66,0.00,0.00,,63.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
84,Thiago Borbas,uy URU,FW,Bragantino,20,2002,15.9,9,55,26,47.3,3.47,1.64,0.16,0.35,13.8,1,0,0,9.2,9.2,0.17,-0.2,-0.2,Matches
85,Ângelo Borges,br BRA,"FW,MF",Santos,18,2004,6.0,2,6,3,50.0,1.00,0.50,0.33,0.67,16.9,0,0,0,1.1,1.1,0.18,#ERROR!,#ERROR!,Matches
86,Daniel Borges,br BRA,DF,América (MG),29,1993,8.9,0,3,0,0.0,0.34,0.00,0.00,,25.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
87,Daniel Borges,br BRA,DF,Botafogo (RJ),29,1993,0.5,0,1,1,100.0,2.00,2.00,0.00,0.00,26.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
88,Marllon Borges,br BRA,DF,Cuiabá,30,1992,36.0,1,13,4,30.8,0.36,0.11,0.08,0.25,9.0,0,0,0,1.5,1.5,0.11,-0.5,-0.5,Matches
89,Pedro Borges,br BRA,"MF,FW",Fortaleza,25,1997,6.3,0,5,1,20.0,0.80,0.16,0.00,0.00,16.0,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
90,Gabriel Boschilia,br BRA,"MF,FW",Coritiba,26,1996,3.8,1,15,5,33.3,3.92,1.31,0.07,0.20,24.1,2,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches
91,Lucas Braga,br BRA,"DF,FW",Santos,26,1996,22.1,0,11,1,9.1,0.50,0.05,0.00,0.00,15.9,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
92,David Braz,br BRA,DF,Fluminense,35,1987,9.6,0,10,3,30.0,01.04,0.31,0.00,0.00,18.7,3,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
93,Brenno,br BRA,GK,Grêmio,23,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
94,Breno,br BRA,MF,Botafogo (RJ),22,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
95,Breno,br BRA,FW,Palmeiras,27,1996,15.2,5,49,24,49.0,3.23,1.58,0.10,0.21,14.8,0,0,0,6.8,6.8,0.14,-1.8,-1.8,Matches
96,Emanuel Brítez,ar ARG,DF,Fortaleza,30,1992,30.7,0,20,3,15.0,0.65,0.10,0.00,0.00,17.5,0,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
97,Bruninho,br BRA,"FW,MF",Bragantino,19,2003,7.9,2,21,6,28.6,2.64,0.76,0.10,0.33,17.1,3,0,0,2.7,2.7,0.13,-0.7,-0.7,Matches
98,Fabrício Bruno,br BRA,DF,Flamengo,26,1996,34.0,0,16,4,25.0,0.47,0.12,0.00,0.00,15.2,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
99,Vitor Bueno,br BRA,"MF,FW",Ath Paranaense,28,1994,23.1,5,63,17,27.0,2.73,0.74,0.03,0.12,26.8,11,3,3,5.3,3.1,0.05,-0.3,-1.1,Matches
100,Esteban Burgos,ar ARG,DF,América (MG),31,1992,3.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
