Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
139,Ricardo Cerqueira,br BRA,MF,Cuiabá,20,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
140,Júlio César,br BRA,DF,América (MG),19,2003,6.6,0,4,0,0.0,0.61,0.00,0.00,,14.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
141,Reynaldo Cesar Moraes,br BRA,DF,Cruzeiro,26,1997,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
142,Reynaldo Cesar Moraes,br BRA,DF,Coritiba,26,1997,2.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
143,Kayky Chagas,br BRA,"FW,MF",Bahia,19,2003,4.6,2,10,3,30.0,2.20,0.66,0.20,0.67,13.7,0,0,0,1.5,1.5,0.15,#ERROR!,#ERROR!,Matches
144,Jhon Chancellor,ve VEN,DF,Coritiba,31,1992,3.4,0,1,0,0.0,0.30,0.00,0.00,,14.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
145,Gabriel Chapecó,br BRA,GK,Grêmio,22,2000,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
146,Gabriel Chaves,br BRA,"FW,MF",Vasco da Gama,21,2001,29.0,8,66,24,36.4,2.27,0.83,0.12,0.33,17.8,5,0,0,9.1,9.1,0.14,-1.1,-1.1,Matches
147,Jhoanner Chávez,ec ECU,"DF,MF",Bahia,20,2002,6.5,0,4,1,25.0,0.61,0.15,0.00,0.00,24.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
148,Chiqueti,br BRA,MF,Ath Paranaense,17,2005,0.2,0,0,0,,0.00,0.00,,,,,0,0,,,,,,Matches
149,Christian,br BRA,"MF,FW",Ath Paranaense,22,2000,15.1,4,26,7,26.9,1.72,0.46,0.15,0.57,20.1,0,0,0,2.7,2.7,0.10,#ERROR!,#ERROR!,Matches
150,Cicinho,bg BUL,DF,Bahia,34,1988,8.4,0,5,2,40.0,0.60,0.24,0.00,0.00,13.1,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
151,Cipriano,br BRA,DF,Bragantino,20,2002,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
152,Marcelo Cirino,br BRA,"FW,MF",Ath Paranaense,31,1992,1.1,0,2,0,0.0,1.76,0.00,0.00,,10.8,0,0,0,0.4,0.4,0.19,-0.4,-0.4,Matches
153,Léo Cittadini,br BRA,MF,Bahia,28,1994,1.5,0,2,1,50.0,1.29,0.65,0.00,0.00,20.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
154,Léo Cittadini,br BRA,"MF,FW",Ath Paranaense,28,1994,2.2,0,3,1,33.3,1.34,0.45,0.00,0.00,23.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
155,Mateus Claus,br BRA,GK,Bahia,28,1994,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
156,Clayson,br BRA,"FW,MF",Cuiabá,27,1995,18.2,7,31,6,19.4,1.70,0.33,0.13,0.67,21.4,1,3,3,4.5,2.1,0.07,#ERROR!,#ERROR!,Matches
157,Mateus Cocão,br BRA,MF,Vasco da Gama,20,2002,3.9,0,2,0,0.0,0.52,0.00,0.00,,8.9,0,0,0,0.4,0.4,0.19,-0.4,-0.4,Matches
158,Diego Costa,es ESP,FW,Botafogo (RJ),34,1988,5.7,3,16,7,43.8,2.79,1.22,0.19,0.43,12.8,1,0,0,1.9,1.9,0.12,#ERROR!,#ERROR!,Matches
159,Philippe Costa,br BRA,FW,Goiás,22,2000,1.2,0,4,1,25.0,3.30,0.83,0.00,0.00,16.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
160,Talles Costa,br BRA,"MF,FW",São Paulo,20,2002,1.5,0,4,2,50.0,2.67,1.33,0.00,0.00,16.2,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
161,Lucas Crispim,br BRA,"MF,DF",Fortaleza,28,1994,5.4,0,8,1,12.5,1.48,0.18,0.00,0.00,27.7,3,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
162,Franco Cristaldo,ar ARG,"MF,FW",Grêmio,26,1996,23.7,8,37,19,51.4,1.56,0.80,0.14,0.26,19.1,1,3,4,6.6,3.6,0.10,#ERROR!,#ERROR!,Matches
163,Tomás Cuello,ar ARG,"MF,FW",Ath Paranaense,22,2000,22.8,0,30,8,26.7,1.31,0.35,0.00,0.00,22.4,0,0,0,1.5,1.5,0.05,-1.5,-1.5,Matches
164,Víctor Cuesta,ar ARG,DF,Botafogo (RJ),34,1988,35.0,1,22,5,22.7,0.63,0.14,0.05,0.20,13.8,3,0,0,2.4,2.2,0.10,-1.4,-1.2,Matches
165,Cuiabano,br BRA,"DF,MF",Grêmio,19,2003,5.4,1,10,5,50.0,1.84,0.92,0.10,0.20,19.8,0,0,0,0.7,0.7,0.07,#ERROR!,#ERROR!,Matches
166,Lucas Cunha,br BRA,DF,Bragantino,26,1997,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
167,Matheus Cunha,br BRA,GK,Flamengo,21,2001,17.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
168,Ian Custódio,br BRA,DF,Palmeiras,19,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
169,João Dalla Corte,br BRA,DF,Internacional,16,2006,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
170,Danielzinho,br BRA,"FW,MF",Bahia,27,1996,0.9,0,1,1,100.0,1.14,1.14,0.00,0.00,18.9,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
171,Danielzinho,br BRA,FW,Ath Paranaense,20,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
172,Danielzinho,br BRA,MF,Fluminense,27,1996,6.8,0,5,1,20.0,0.74,0.15,0.00,0.00,19.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
173,David,br BRA,"FW,MF",São Paulo,27,1995,8.1,2,22,9,40.9,2.70,1.11,0.09,0.22,14.5,0,0,0,3.1,3.1,0.14,-1.1,-1.1,Matches
174,Giorgian De Arrascaeta,uy URU,"MF,FW",Flamengo,28,1994,20.5,7,54,16,29.6,2.64,0.78,0.13,0.44,19.1,4,0,0,4.9,4.9,0.09,#ERROR!,#ERROR!,Matches
175,Sergio Antonio De Luiz Junior,br BRA,"MF,DF",Vasco da Gama,27,1995,4.0,2,6,3,50.0,1.50,0.75,0.33,0.67,9.6,0,0,0,1.4,1.4,0.23,#ERROR!,#ERROR!,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
176,Denilson,br BRA,MF,Cuiabá,21,2001,21.2,1,32,9,28.1,1.51,0.42,0.03,0.11,25.3,1,0,0,1.3,1.3,0.04,-0.3,-0.3,Matches
177,Denzel,br BRA,FW,Goiás,20,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
178,Deyverson,br BRA,FW,Cuiabá,31,1991,32.3,12,66,29,43.9,02.04,0.90,0.14,0.31,13.3,3,3,4,12.3,9.4,0.14,-0.3,-0.4,Matches
179,Leonel Di Plácido,ar ARG,DF,Botafogo (RJ),29,1994,26.2,1,10,3,30.0,0.38,0.11,0.10,0.33,27.8,0,0,0,0.2,0.2,0.02,#ERROR!,#ERROR!,Matches
180,Gabriel Dias,br BRA,DF,Vasco da Gama,28,1994,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
181,Jean Dias,br BRA,"FW,MF",Internacional,32,1990,3.6,1,7,2,28.6,1.96,0.56,0.14,0.50,20.3,2,0,0,1.0,1.0,0.14,0.0,0.0,Matches
182,Luan Dias,br BRA,"MF,FW",Santos,25,1997,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
183,Matheus Dias,br BRA,"MF,FW",Internacional,25,1997,4.5,0,1,0,0.0,0.22,0.00,0.00,,12.9,0,0,0,0.1,0.1,0.15,-0.1,-0.1,Matches
184,Diego,br BRA,DF,São Paulo,23,1999,19.4,0,9,4,44.4,0.46,0.21,0.00,0.00,12.7,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
185,Dieguinho,br BRA,"DF,FW",Goiás,27,1995,12.0,0,10,0,0.0,0.83,0.00,0.00,,25.3,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
186,Diogo,br BRA,"FW,MF",Coritiba,26,1996,8.4,1,17,7,41.2,02.02,0.83,0.06,0.14,12.2,0,0,0,2.7,2.7,0.16,-1.7,-1.7,Matches
187,Dodi,br BRA,MF,Santos,26,1996,19.1,0,12,4,33.3,0.63,0.21,0.00,0.00,25.9,2,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
188,Dodô,br BRA,DF,Atlético Mineiro,30,1992,0.7,0,1,0,0.0,1.53,0.00,0.00,,25.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
189,Dodô,br BRA,DF,Santos,30,1992,15.8,0,7,0,0.0,0.44,0.00,0.00,,11.0,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
190,Dodô,br BRA,"MF,FW",Goiás,21,2001,3.6,2,6,2,33.3,1.67,0.56,0.33,1.00,19.4,0,0,0,1.2,1.2,0.20,#ERROR!,#ERROR!,Matches
191,Thiago Dombroski,br BRA,DF,Coritiba,20,2002,5.6,0,2,0,0.0,0.36,0.00,0.00,,12.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
192,Halerrandrio dos Santos,br BRA,MF,Goiás,16,2006,0.3,0,2,0,0.0,6.21,0.00,0.00,,22.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
193,Thiago dos Santos,br BRA,"DF,MF",Fluminense,33,1989,9.1,0,6,1,16.7,0.66,0.11,0.00,0.00,23.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
194,Henrique Dourado,br BRA,FW,Cruzeiro,33,1989,3.8,1,14,3,21.4,3.68,0.79,0.07,0.33,13.6,0,0,0,2.3,2.3,0.17,-1.3,-1.3,Matches
195,David Duarte,br BRA,DF,Bahia,28,1995,9.6,1,7,2,28.6,0.73,0.21,0.14,0.50,13.2,0,0,0,0.6,0.6,0.08,#ERROR!,#ERROR!,Matches
196,Dudu,br BRA,MF,Ath Paranaense,17,2006,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
197,Dudu,br BRA,FW,Palmeiras,31,1992,12.0,3,35,10,28.6,2.93,0.84,0.09,0.30,19.0,0,0,0,2.4,2.4,0.07,#ERROR!,#ERROR!,Matches
198,Éberth,br BRA,FW,Coritiba,19,2003,0.3,0,1,0,0.0,3.60,0.00,0.00,,18.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
199,Edenílson,br BRA,"MF,FW",Atlético Mineiro,33,1989,15.2,1,8,3,37.5,0.53,0.20,0.13,0.33,20.3,0,0,0,0.5,0.5,0.06,#ERROR!,#ERROR!,Matches
200,Eder,br BRA,DF,América (MG),27,1995,17.4,0,7,2,28.6,0.40,0.11,0.00,0.00,12.7,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
201,EDU,br BRA,DF,Goiás,22,2000,4.8,0,2,1,50.0,0.41,0.21,0.00,0.00,6.7,0,0,0,0.4,0.4,0.20,-0.4,-0.4,Matches
202,Edu,br BRA,"FW,MF",Coritiba,29,1993,3.6,2,10,4,40.0,2.81,1.13,0.20,0.50,13.4,0,0,0,2.5,2.5,0.25,-0.5,-0.5,Matches
203,Carlos Eduardo,br BRA,"MF,FW",Atlético Mineiro,18,2004,0.1,0,1,0,0.0,7.50,0.00,0.00,,28.8,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
204,Carlos Eduardo,br BRA,MF,Botafogo (RJ),33,1989,29.7,6,43,18,41.9,1.45,0.61,0.14,0.33,16.0,8,0,0,5.5,5.5,0.13,#ERROR!,#ERROR!,Matches
205,Eguinaldo,br BRA,"FW,MF",Vasco da Gama,18,2004,0.7,0,2,0,0.0,2.69,0.00,0.00,,22.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
206,Rafael Elias,br BRA,FW,Cruzeiro,23,1999,6.0,1,17,7,41.2,2.83,1.17,0.06,0.14,15.1,0,0,0,2.5,2.5,0.15,-1.5,-1.5,Matches
207,Rodrigo Ely,br BRA,DF,Grêmio,29,1993,7.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
208,Lucas Emmanuel,br BRA,FW,Goiás,22,2000,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
209,Leandro Emmanuel Martínez,ar ARG,MF,América (MG),28,1994,28.2,1,37,11,29.7,1.31,0.39,0.03,0.09,22.8,3,0,0,3.3,3.3,0.09,-2.3,-2.3,Matches
210,Alan Empereur,br BRA,DF,Cuiabá,28,1994,32.8,1,12,4,33.3,0.37,0.12,0.08,0.25,19.5,0,0,0,0.5,0.5,0.04,#ERROR!,#ERROR!,Matches
211,Endrick,br BRA,FW,Palmeiras,16,2006,17.3,11,49,25,51.0,2.83,1.44,0.22,0.44,17.4,1,0,1,8.1,7.3,0.15,#ERROR!,#ERROR!,Matches
212,Erick,br BRA,MF,Ath Paranaense,25,1997,27.8,4,56,15,26.8,02.02,0.54,0.07,0.27,13.4,0,0,0,5.4,5.4,0.10,-1.4,-1.4,Matches
213,Erison,br BRA,"FW,MF",São Paulo,23,1999,4.3,1,17,3,17.6,3.91,0.69,0.00,0.00,18.0,1,1,1,1.8,1.0,0.06,-0.8,-1.0,Matches
214,Gonzalo Escobar,ar ARG,DF,Fortaleza,25,1997,6.4,0,7,1,14.3,01.09,0.16,0.00,0.00,17.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
215,Lucas Esquivel,ar ARG,DF,Ath Paranaense,21,2001,18.3,0,8,2,25.0,0.44,0.11,0.00,0.00,22.1,3,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
216,Estevão,br BRA,MF,Internacional,20,2002,0.1,0,1,1,100.0,8.18,8.18,0.00,0.00,26.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
217,Estevão,br BRA,FW,Palmeiras,16,2006,0.1,0,0,0,,0.00,0.00,,,,,0,0,,,,,,Matches
218,Vitor Eudes,br BRA,GK,Fluminense,24,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
219,Lucas Evangelista,br BRA,MF,Bragantino,27,1995,30.2,1,67,13,19.4,2.22,0.43,0.01,0.08,21.2,4,0,0,3.7,3.7,0.06,-2.7,-2.7,Matches
220,Everaldo,br BRA,"FW,MF",América (MG),28,1994,13.7,1,20,4,20.0,1.46,0.29,0.05,0.25,20.4,0,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches
221,Éverson,br BRA,GK,Atlético Mineiro,32,1990,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
222,Everton,br BRA,"FW,MF",Grêmio,25,1997,13.5,6,38,14,36.8,2.82,01.04,0.16,0.43,22.6,0,0,0,3.5,3.5,0.09,#ERROR!,#ERROR!,Matches
223,Bruno Fabiano Alves,br BRA,DF,Grêmio,31,1991,27.2,0,9,1,11.1,0.33,0.04,0.00,0.00,10.5,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
224,Fabinho,br BRA,MF,Palmeiras,20,2002,6.5,0,6,1,16.7,0.92,0.15,0.00,0.00,18.4,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches
225,Fábio,br BRA,GK,Fluminense,42,1980,35.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
226,Fábio,br BRA,"DF,MF",Grêmio,32,1990,9.7,0,6,0,0.0,0.62,0.00,0.00,,18.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
227,Fagner,br BRA,DF,Corinthians,33,1989,23.3,0,10,1,10.0,0.43,0.04,0.00,0.00,26.4,2,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
228,Willian Farias,br BRA,MF,Coritiba,33,1989,10.7,0,7,0,0.0,0.66,0.00,0.00,,25.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
229,Luiz Felipe,br BRA,DF,Santos,29,1993,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
230,Marcos Felipe,br BRA,GK,Bahia,26,1996,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
231,Matheus Felipe,br BRA,DF,Ath Paranaense,24,1998,5.9,0,2,1,50.0,0.34,0.17,0.00,0.00,35.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
232,Danilo Fernandes,br BRA,GK,Bahia,34,1988,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
233,Lucas Fernandes,br BRA,MF,Botafogo (RJ),25,1997,5.3,0,17,5,29.4,3.23,0.95,0.00,0.00,18.9,1,0,0,1.1,1.1,0.07,-1.1,-1.1,Matches
234,Matheus Fernandes,br BRA,MF,Bragantino,24,1998,26.0,1,24,6,25.0,0.92,0.23,0.04,0.17,28.0,0,0,0,0.8,0.8,0.03,#ERROR!,#ERROR!,Matches
235,Nathan Fernandes,br BRA,"FW,MF",Grêmio,17,2005,4.2,1,12,5,41.7,2.86,1.19,0.08,0.20,18.0,0,0,0,1.0,1.0,0.08,0.0,0.0,Matches
236,Gatito Fernández,py PAR,GK,Botafogo (RJ),34,1988,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
237,Leonardo Fernández,uy URU,"MF,FW",Fluminense,24,1998,7.3,1,24,13,54.2,3.28,1.78,0.04,0.08,28.8,5,0,1,1.5,0.7,0.03,-0.5,#ERROR!,Matches
238,Rodrigo Fernández,uy URU,MF,Santos,27,1996,22.4,1,14,3,21.4,0.63,0.13,0.07,0.33,23.1,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches
239,Fernandinho,br BRA,MF,Ath Paranaense,37,1985,21.5,1,15,4,26.7,0.70,0.19,0.00,0.00,27.8,0,1,1,1.2,0.4,0.03,-0.2,-0.4,Matches
240,Fernando,br BRA,DF,Ath Paranaense,23,1999,5.3,0,2,0,0.0,0.38,0.00,0.00,,26.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
241,Nahuel Ferraresi,ve VEN,FW,São Paulo,24,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
242,Ferreira,br BRA,"FW,MF",Grêmio,25,1997,12.7,4,28,11,39.3,2.20,0.86,0.14,0.36,18.0,1,0,0,3.0,3.0,0.11,#ERROR!,#ERROR!,Matches
243,Sebastián Ferreira,py PAR,"FW,MF",Vasco da Gama,24,1998,4.9,0,10,2,20.0,02.05,0.41,0.00,0.00,10.2,0,0,0,1.7,1.7,0.17,-1.7,-1.7,Matches
244,Figueiredo,br BRA,"FW,MF",Vasco da Gama,21,2001,7.3,0,28,8,28.6,3.84,1.10,0.00,0.00,22.2,4,0,0,1.8,1.8,0.06,-1.8,-1.8,Matches
245,Tobias Figueiredo,pt POR,DF,Fortaleza,28,1994,3.8,0,2,0,0.0,0.52,0.00,0.00,,18.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
246,Matheus França,br BRA,"MF,FW",Flamengo,18,2004,4.1,1,17,1,5.9,4.15,0.24,0.06,1.00,17.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
247,Alan Franco,ec ECU,"MF,FW",Atlético Mineiro,24,1998,9.3,0,4,1,25.0,0.43,0.11,0.00,0.00,22.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
248,Alan Franco,ar ARG,DF,São Paulo,26,1996,12.5,1,7,1,14.3,0.56,0.08,0.14,1.00,11.1,0,0,0,0.9,0.9,0.13,#ERROR!,#ERROR!,Matches
249,Fransérgio,br BRA,MF,Coritiba,32,1990,5.9,0,8,1,12.5,1.35,0.17,0.00,0.00,21.2,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
250,Marlon Freitas,br BRA,MF,Botafogo (RJ),27,1995,32.3,1,41,5,12.2,1.27,0.15,0.02,0.20,26.0,0,0,0,2.1,2.1,0.05,-1.1,-1.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
251,Bruno Fuchs,br BRA,DF,Atlético Mineiro,23,1999,12.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
252,Julio Furch,ar ARG,"FW,MF",Santos,33,1989,6.8,3,19,9,47.4,2.81,1.33,0.16,0.33,12.8,0,0,0,2.8,2.8,0.15,#ERROR!,#ERROR!,Matches
253,Gabriel,br BRA,DF,Bahia,21,2001,10.9,0,7,3,42.9,0.64,0.28,0.00,0.00,13.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
254,Gabriel,br BRA,MF,Internacional,30,1992,8.5,0,4,0,0.0,0.47,0.00,0.00,,30.7,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
255,Gabriel,br BRA,GK,Coritiba,30,1992,30.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
256,Gabriel,br BRA,MF,Botafogo (RJ),29,1993,9.6,0,15,4,26.7,1.56,0.42,0.00,0.00,23.3,3,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
257,Eduardo Gabriel,br BRA,DF,Santos,26,1996,3.0,1,8,2,25.0,2.68,0.67,0.13,0.50,12.1,0,0,0,0.4,0.4,0.05,#ERROR!,#ERROR!,Matches
258,Thalisson Gabriel,br BRA,DF,Coritiba,21,2002,10.5,0,3,2,66.7,0.29,0.19,0.00,0.00,10.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
259,Zé Gabriel,br BRA,MF,Vasco da Gama,24,1999,21.5,1,13,3,23.1,0.60,0.14,0.08,0.33,28.3,0,0,0,0.5,0.5,0.04,#ERROR!,#ERROR!,Matches
260,Ighor Gabryel,br BRA,FW,América (MG),20,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
261,Matías Galarza,py PAR,MF,Vasco da Gama,20,2002,4.5,1,9,2,22.2,02.02,0.45,0.11,0.50,21.2,0,0,0,0.6,0.6,0.07,#ERROR!,#ERROR!,Matches
262,Thiago Galhardo,br BRA,"FW,MF",Fortaleza,33,1989,20.8,5,60,19,31.7,2.88,0.91,0.05,0.16,16.9,0,2,2,7.2,5.6,0.09,-2.2,-2.6,Matches
263,JP Galvão,br BRA,DF,Botafogo (RJ),21,2001,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
264,Ganso,br BRA,MF,Fluminense,33,1989,19.3,3,22,7,31.8,1.14,0.36,0.14,0.43,19.1,1,0,0,2.3,2.3,0.10,#ERROR!,#ERROR!,Matches
265,Maurício Garcez,br BRA,"MF,FW",Coritiba,25,1997,6.6,1,13,2,15.4,1.96,0.30,0.08,0.50,17.5,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
266,García,br BRA,DF,Palmeiras,21,2002,3.3,0,2,0,0.0,0.61,0.00,0.00,,23.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
267,Bryan García,ec ECU,MF,Ath Paranaense,22,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
268,Luan Garcia,br BRA,DF,Palmeiras,29,1993,20.2,1,19,6,31.6,0.94,0.30,0.05,0.17,10.5,0,0,0,1.9,1.9,0.10,-0.9,-0.9,Matches
269,Rafael Gava,br BRA,MF,Cuiabá,29,1993,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
270,Pedro Geromel,br BRA,DF,Grêmio,37,1985,5.2,0,1,0,0.0,0.19,0.00,0.00,,11.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
271,Gerson,br BRA,MF,Flamengo,25,1997,29.9,5,31,12,38.7,01.04,0.40,0.16,0.42,19.8,0,0,0,2.9,2.9,0.10,#ERROR!,#ERROR!,Matches
272,Gil,br BRA,DF,Corinthians,35,1987,32.0,2,28,13,46.4,0.87,0.41,0.07,0.15,11.0,0,0,0,2.2,2.2,0.08,-0.2,-0.2,Matches
273,Gilberto,br BRA,FW,Cruzeiro,33,1989,12.1,3,35,9,25.7,2.88,0.74,0.09,0.33,15.3,0,0,0,3.7,3.7,0.10,-0.7,-0.7,Matches
274,Gilberto,br BRA,DF,Bahia,29,1993,20.6,1,18,4,22.2,0.87,0.19,0.06,0.25,26.1,1,0,0,0.6,0.6,0.04,#ERROR!,#ERROR!,Matches
275,Giovane,br BRA,FW,Corinthians,19,2003,1.5,1,4,1,25.0,2.71,0.68,0.25,1.00,11.6,0,0,0,0.9,0.9,0.21,#ERROR!,#ERROR!,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
276,Giovani,br BRA,FW,Palmeiras,19,2004,0.2,0,1,0,0.0,6.00,0.00,0.00,,14.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
277,Giovanni,br BRA,"MF,DF",Fluminense,21,2002,1.1,0,4,0,0.0,3.75,0.00,0.00,,24.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
278,Bruno Gomes,br BRA,MF,Coritiba,21,2001,24.4,3,40,13,32.5,1.64,0.53,0.08,0.23,23.1,7,0,0,2.3,2.3,0.06,#ERROR!,#ERROR!,Matches
279,Igor Gomes,br BRA,"MF,FW",Atlético Mineiro,23,1999,15.3,2,19,5,26.3,1.24,0.33,0.11,0.40,21.0,0,0,0,1.8,1.8,0.09,#ERROR!,#ERROR!,Matches
