,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
,20.00,Alisson,br BRA,"MF,FW",São Paulo,29.00,"1,993.00",35.00,26.00,"2,153.00",23.90,0.00,5.00,5.00,0.00,0.00,0.00,2.00,0.00,1.10,1.10,2.70,3.80,40.00,144.00,105.00,0.00,0.21,0.21,0.00,0.21,0.05,0.11,0.16,0.05,0.16,Matches
,21.00,Allan,br BRA,MF,Flamengo,25.00,"1,997.00",9.00,4.00,482.00,5.40,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.10,0.10,0.10,0.20,10.00,36.00,6.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.05,0.02,0.05,Matches
,22.00,Allano,br BRA,FW,Goiás,27.00,"1,995.00",19.00,15.00,"1,237.00",13.70,1.00,0.00,1.00,1.00,0.00,0.00,5.00,0.00,2.10,2.10,0.80,2.90,39.00,55.00,90.00,0.07,0.00,0.07,0.07,0.07,0.15,0.06,0.21,0.15,0.21,Matches
,23.00,Henrique Almeida,br BRA,FW,América (MG),31.00,"1,991.00",4.00,2.00,156.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.30,0.70,1.00,3.00,5.00,0.00,0.00,0.00,0.00,0.00,0.22,0.20,0.42,0.22,0.42,Matches
,24.00,Rodrigo Alves,br BRA,MF,Vasco da Gama,20.00,"2,002.00",8.00,4.00,352.00,3.90,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
,25.00,Anderson,br BRA,GK,Cruzeiro,24.00,"1,998.00",1.00,1.00,90.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
,26.00,Anderson,br BRA,"FW,MF",Goiás,24.00,"1,998.00",20.00,18.00,"1,291.00",14.30,0.00,2.00,2.00,0.00,0.00,0.00,1.00,0.00,0.70,0.70,1.30,2.00,44.00,39.00,106.00,0.00,0.14,0.14,0.00,0.14,0.05,0.09,0.14,0.05,0.14,Matches
,27.00,André,br BRA,DF,Bahia,19.00,"2,003.00",3.00,1.00,125.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,4.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
,28.00,André,br BRA,"MF,DF",Fluminense,21.00,"2,001.00",31.00,29.00,"2,649.00",29.40,0.00,0.00,0.00,0.00,0.00,0.00,11.00,1.00,0.40,0.40,0.60,0.90,58.00,184.00,14.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
,29.00,Maurício Antônio,br BRA,DF,Coritiba,30.00,"1,992.00",3.00,1.00,180.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
,30.00,Apodi,br BRA,"FW,MF",Goiás,36.00,"1,986.00",13.00,2.00,382.00,4.20,1.00,0.00,1.00,1.00,0.00,0.00,3.00,0.00,0.80,0.80,0.20,1.10,6.00,4.00,16.00,0.24,0.00,0.24,0.24,0.24,0.20,0.06,0.25,0.20,0.25,Matches
,31.00,Guilherme Arana,br BRA,DF,Atlético Mineiro,25.00,"1,997.00",28.00,27.00,"2,385.00",26.50,2.00,0.00,2.00,2.00,0.00,0.00,2.00,1.00,1.00,1.00,1.10,2.10,56.00,133.00,122.00,0.08,0.00,0.08,0.08,0.08,0.04,0.04,0.08,0.04,0.08,Matches
,32.00,Charles Aránguiz,cl CHI,MF,Internacional,33.00,"1,989.00",22.00,16.00,"1,267.00",14.10,0.00,1.00,1.00,0.00,0.00,0.00,3.00,0.00,1.00,1.00,1.30,2.20,6.00,89.00,28.00,0.00,0.07,0.07,0.00,0.07,0.07,0.09,0.16,0.07,0.16,Matches
,33.00,João Araújo,br BRA,MF,Grêmio,17.00,"2,005.00",1.00,0.00,8.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
,34.00,Luiz Araújo,br BRA,"FW,MF",Flamengo,26.00,"1,996.00",20.00,10.00,785.00,8.70,3.00,1.00,4.00,3.00,0.00,0.00,2.00,1.00,1.60,1.60,0.70,2.20,29.00,44.00,112.00,0.34,0.11,0.46,0.34,0.46,0.18,0.08,0.26,0.18,0.26,Matches
,35.00,Matheus Araújo,br BRA,"MF,FW",Corinthians,20.00,"2,002.00",16.00,3.00,584.00,6.50,1.00,2.00,3.00,1.00,0.00,0.00,0.00,0.00,1.20,1.20,0.80,2.00,18.00,30.00,43.00,0.15,0.31,0.46,0.15,0.46,0.19,0.13,0.32,0.19,0.32,Matches
