,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
,76.00,Matheus Bianqui,br BRA,MF,Coritiba,25.00,"1,998.00",28.00,17.00,"1,420.00",15.80,2.00,1.00,3.00,2.00,0.00,0.00,8.00,0.00,1.70,1.70,1.30,3.00,10.00,41.00,41.00,0.13,0.06,0.19,0.13,0.19,0.11,0.08,0.19,0.11,0.19,Matches
,77.00,Raul Bicalho,br BRA,DF,Bahia,23.00,"1,999.00",7.00,4.00,321.00,3.60,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.30,0.30,0.00,0.30,7.00,19.00,2.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
,78.00,Matheus Bidu,br BRA,DF,Corinthians,23.00,"1,999.00",24.00,19.00,"1,659.00",18.40,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.40,0.40,1.40,1.80,58.00,88.00,100.00,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.02,0.10,Matches
,79.00,Biel,br BRA,"FW,MF",Bahia,21.00,"2,001.00",25.00,15.00,"1,361.00",15.10,5.00,1.00,6.00,5.00,0.00,0.00,4.00,0.00,5.20,5.20,4.40,9.60,51.00,57.00,117.00,0.33,0.07,0.40,0.33,0.40,0.34,0.29,0.64,0.34,0.64,Matches
,80.00,Rafael Bilu,br BRA,FW,Cruzeiro,23.00,"1,999.00",4.00,1.00,86.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.70,0.80,1.40,5.00,2.00,8.00,0.00,0.00,0.00,0.00,0.00,0.71,0.80,1.51,0.71,1.51,Matches
,81.00,Guilherme Biro,br BRA,"FW,MF",Corinthians,18.00,"2,004.00",11.00,7.00,572.00,6.40,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.70,0.70,0.50,1.30,18.00,18.00,44.00,0.00,0.00,0.00,0.00,0.00,0.12,0.08,0.20,0.12,0.20,Matches
,82.00,Bitelo,br BRA,"MF,FW",Grêmio,23.00,"2,000.00",19.00,18.00,"1,550.00",17.20,4.00,1.00,5.00,4.00,0.00,0.00,1.00,0.00,3.60,3.60,3.80,7.40,39.00,92.00,132.00,0.23,0.06,0.29,0.23,0.29,0.21,0.22,0.43,0.21,0.43,Matches
,83.00,Paulinho Bóia,br BRA,FW,América (MG),24.00,"1,998.00",3.00,2.00,136.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.30,0.30,4.00,1.00,12.00,0.00,0.00,0.00,0.00,0.00,0.01,0.21,0.22,0.01,0.22,Matches
,84.00,Thiago Borbas,uy URU,FW,Bragantino,20.00,"2,002.00",33.00,10.00,"1,428.00",15.90,9.00,2.00,11.00,9.00,0.00,0.00,7.00,1.00,9.20,9.20,1.10,10.40,12.00,25.00,119.00,0.57,0.13,0.69,0.57,0.69,0.58,0.07,0.65,0.58,0.65,Matches
,85.00,Ângelo Borges,br BRA,"FW,MF",Santos,18.00,"2,004.00",12.00,5.00,542.00,6.00,2.00,0.00,2.00,2.00,0.00,0.00,1.00,0.00,1.10,1.10,1.00,2.00,26.00,25.00,38.00,0.33,0.00,0.33,0.33,0.33,0.18,0.16,0.33,0.18,0.33,Matches
,86.00,Daniel Borges,br BRA,DF,América (MG),29.00,"1,993.00",14.00,8.00,799.00,8.90,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.10,0.10,1.50,1.60,19.00,45.00,37.00,0.00,0.11,0.11,0.00,0.11,0.01,0.17,0.18,0.01,0.18,Matches
,87.00,Daniel Borges,br BRA,DF,Botafogo (RJ),29.00,"1,993.00",1.00,0.00,45.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
,88.00,Marllon Borges,br BRA,DF,Cuiabá,30.00,"1,992.00",36.00,36.00,"3,240.00",36.00,1.00,1.00,2.00,1.00,0.00,0.00,7.00,0.00,1.50,1.50,0.70,2.20,12.00,88.00,1.00,0.03,0.03,0.06,0.03,0.06,0.04,0.02,0.06,0.04,0.06,Matches
,89.00,Pedro Borges,br BRA,"MF,FW",Fortaleza,25.00,"1,997.00",14.00,6.00,566.00,6.30,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.50,0.50,0.60,1.00,3.00,19.00,12.00,0.00,0.00,0.00,0.00,0.00,0.07,0.09,0.16,0.07,0.16,Matches
,90.00,Gabriel Boschilia,br BRA,"MF,FW",Coritiba,26.00,"1,996.00",11.00,3.00,344.00,3.80,1.00,1.00,2.00,1.00,0.00,0.00,1.00,0.00,1.10,1.10,0.80,1.90,10.00,18.00,20.00,0.26,0.26,0.52,0.26,0.52,0.29,0.21,0.50,0.29,0.50,Matches
,91.00,Lucas Braga,br BRA,"DF,FW",Santos,26.00,"1,996.00",27.00,22.00,"1,991.00",22.10,0.00,0.00,0.00,0.00,0.00,0.00,5.00,1.00,0.40,0.40,0.70,1.10,64.00,55.00,89.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
,92.00,David Braz,br BRA,DF,Fluminense,35.00,"1,987.00",18.00,10.00,865.00,9.60,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.70,0.70,0.10,0.80,16.00,31.00,2.00,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.08,0.08,0.08,Matches
,93.00,Brenno,br BRA,GK,Grêmio,23.00,"1,999.00",1.00,1.00,90.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
,94.00,Breno,br BRA,MF,Botafogo (RJ),22.00,"2,000.00",1.00,0.00,10.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
,95.00,Breno,br BRA,FW,Palmeiras,27.00,"1,996.00",31.00,14.00,"1,365.00",15.20,5.00,3.00,8.00,5.00,0.00,0.00,1.00,0.00,6.80,6.80,1.10,7.90,44.00,37.00,110.00,0.33,0.20,0.53,0.33,0.53,0.45,0.08,0.52,0.45,0.52,Matches
,96.00,Emanuel Brítez,ar ARG,DF,Fortaleza,30.00,"1,992.00",31.00,31.00,"2,761.00",30.70,0.00,1.00,1.00,0.00,0.00,0.00,11.00,1.00,1.00,1.00,0.60,1.60,19.00,86.00,17.00,0.00,0.03,0.03,0.00,0.03,0.03,0.02,0.05,0.03,0.05,Matches
,97.00,Bruninho,br BRA,"FW,MF",Bragantino,19.00,"2,003.00",16.00,9.00,715.00,7.90,2.00,1.00,3.00,2.00,0.00,0.00,0.00,0.00,2.70,2.70,0.60,3.30,19.00,36.00,68.00,0.25,0.13,0.38,0.25,0.38,0.34,0.07,0.41,0.34,0.41,Matches
,98.00,Fabrício Bruno,br BRA,DF,Flamengo,26.00,"1,996.00",34.00,34.00,"3,060.00",34.00,0.00,1.00,1.00,0.00,0.00,0.00,8.00,0.00,0.70,0.70,0.50,1.20,32.00,199.00,7.00,0.00,0.03,0.03,0.00,0.03,0.02,0.01,0.04,0.02,0.04,Matches
,99.00,Vitor Bueno,br BRA,"MF,FW",Ath Paranaense,28.00,"1,994.00",32.00,25.00,"2,075.00",23.10,5.00,5.00,10.00,2.00,3.00,3.00,7.00,0.00,5.30,3.10,6.90,9.90,74.00,149.00,114.00,0.22,0.22,0.43,0.09,0.30,0.23,0.30,0.53,0.13,0.43,Matches
,100.00,Esteban Burgos,ar ARG,DF,América (MG),31.00,"1,992.00",4.00,4.00,294.00,3.30,0.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,0.00,0.00,0.00,0.00,1.00,7.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
,101.00,Fabricio Bustos,ar ARG,DF,Internacional,26.00,"1,996.00",29.00,28.00,"2,499.00",27.80,3.00,3.00,6.00,3.00,0.00,0.00,4.00,0.00,1.00,1.00,2.90,3.90,39.00,103.00,151.00,0.11,0.11,0.22,0.11,0.22,0.04,0.10,0.14,0.04,0.14,Matches
,102.00,Rafael Cabral,br BRA,GK,Cruzeiro,32.00,"1,990.00",37.00,37.00,"3,330.00",37.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
,103.00,Cacá,br BRA,DF,Ath Paranaense,23.00,"1,999.00",19.00,19.00,"1,694.00",18.80,2.00,0.00,2.00,2.00,0.00,0.00,6.00,0.00,1.10,1.10,0.30,1.40,12.00,39.00,8.00,0.11,0.00,0.11,0.11,0.11,0.06,0.02,0.08,0.06,0.08,Matches
,104.00,Cadu,br BRA,DF,Santos,20.00,"2,002.00",1.00,0.00,16.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
,105.00,Caetano,br BRA,DF,Corinthians,23.00,"1,999.00",16.00,13.00,"1,204.00",13.40,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.20,0.20,0.00,0.20,2.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
,106.00,Jonathan Cafu,br BRA,"FW,MF",Cuiabá,31.00,"1,991.00",32.00,23.00,"1,708.00",19.00,0.00,3.00,3.00,0.00,0.00,0.00,5.00,0.00,1.50,1.50,1.00,2.50,39.00,50.00,169.00,0.00,0.16,0.16,0.00,0.16,0.08,0.05,0.13,0.08,0.13,Matches
,107.00,Júnior Caiçara,br BRA,DF,Santos,33.00,"1,989.00",5.00,1.00,169.00,1.90,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,6.00,8.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
,108.00,Rodrigo Caio,br BRA,"MF,DF",Flamengo,29.00,"1,993.00",5.00,0.00,65.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
,109.00,Caíque,br BRA,GK,Grêmio,25.00,"1,997.00",4.00,4.00,360.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
,110.00,Calebe,br BRA,"MF,FW",Fortaleza,22.00,"2,000.00",29.00,16.00,"1,479.00",16.40,2.00,5.00,7.00,2.00,0.00,0.00,2.00,0.00,3.00,3.00,4.80,7.80,69.00,78.00,127.00,0.12,0.30,0.43,0.12,0.43,0.18,0.29,0.48,0.18,0.48,Matches
,111.00,Jonathan Calleri,ar ARG,FW,São Paulo,29.00,"1,993.00",19.00,15.00,"1,350.00",15.00,9.00,2.00,11.00,7.00,2.00,2.00,6.00,0.00,8.50,6.90,0.70,7.60,15.00,22.00,101.00,0.60,0.13,0.73,0.47,0.60,0.56,0.04,0.61,0.46,0.50,Matches
,112.00,Patric Calmon PK,br BRA,DF,Cuiabá,28.00,"1,994.00",15.00,5.00,520.00,5.80,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,0.20,0.20,0.30,0.40,14.00,29.00,30.00,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.07,0.03,0.07,Matches
,113.00,Guilherme Camacho,br BRA,MF,Santos,32.00,"1,990.00",11.00,4.00,448.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,0.20,0.20,0.00,20.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
,114.00,Nathan Camargo,br BRA,MF,Bragantino,17.00,"2,005.00",1.00,0.00,12.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.44,0.00,0.44,Matches
,115.00,Gustavo Campanharo,br BRA,MF,Internacional,30.00,"1,992.00",15.00,8.00,695.00,7.70,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.10,0.10,0.00,0.10,9.00,33.00,13.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02,Matches
,116.00,Camilo Cándido,uy URU,DF,Bahia,27.00,"1,995.00",19.00,15.00,"1,244.00",13.80,1.00,2.00,3.00,1.00,0.00,0.00,2.00,1.00,0.40,0.40,1.30,1.60,18.00,62.00,91.00,0.07,0.14,0.22,0.07,0.22,0.03,0.09,0.12,0.03,0.12,Matches
,117.00,Luan Cândido,br BRA,DF,Bragantino,21.00,"2,001.00",22.00,11.00,"1,082.00",12.00,1.00,1.00,2.00,1.00,0.00,0.00,3.00,0.00,1.80,1.80,1.20,2.90,19.00,55.00,42.00,0.08,0.08,0.17,0.08,0.17,0.15,0.10,0.24,0.15,0.24,Matches
,118.00,Germán Cano,ar ARG,FW,Fluminense,34.00,"1,988.00",30.00,28.00,"2,465.00",27.40,10.00,1.00,11.00,10.00,0.00,1.00,8.00,0.00,10.00,9.20,1.10,10.30,18.00,25.00,87.00,0.37,0.04,0.40,0.37,0.40,0.37,0.04,0.40,0.34,0.38,Matches
,119.00,Agustín Canobbio,uy URU,"FW,MF",Ath Paranaense,24.00,"1,998.00",29.00,22.00,"2,116.00",23.50,3.00,5.00,8.00,3.00,0.00,0.00,10.00,0.00,5.50,5.50,3.50,9.00,81.00,76.00,223.00,0.13,0.21,0.34,0.13,0.34,0.23,0.15,0.38,0.23,0.38,Matches
,120.00,Víctor Cantillo,co COL,MF,Corinthians,29.00,"1,993.00",6.00,2.00,266.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.10,0.10,2.00,9.00,1.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
,121.00,Manuel Capasso,ar ARG,DF,Vasco da Gama,26.00,"1,996.00",9.00,6.00,554.00,6.20,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.10,0.10,0.00,0.10,1.00,15.00,1.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
,122.00,Juninho Capixaba,br BRA,DF,Bragantino,25.00,"1,997.00",34.00,33.00,"2,875.00",31.90,2.00,1.00,3.00,2.00,0.00,0.00,12.00,0.00,2.90,2.90,4.50,7.40,71.00,231.00,127.00,0.06,0.03,0.09,0.06,0.09,0.09,0.14,0.23,0.09,0.23,Matches
,123.00,Gabriel Carabajal,ar ARG,MF,Vasco da Gama,31.00,"1,991.00",6.00,0.00,122.00,1.40,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.40,0.60,3.00,14.00,11.00,0.00,0.74,0.74,0.00,0.74,0.13,0.28,0.41,0.13,0.41,Matches
,124.00,Felipe Carballo,uy URU,MF,Grêmio,26.00,"1,996.00",22.00,21.00,"1,540.00",17.10,1.00,1.00,2.00,1.00,0.00,0.00,3.00,0.00,1.50,1.50,1.20,2.70,23.00,87.00,45.00,0.06,0.06,0.12,0.06,0.12,0.09,0.07,0.16,0.09,0.16,Matches
,125.00,Johnny Cardoso,us USA,MF,Internacional,21.00,"2,001.00",22.00,20.00,"1,607.00",17.90,2.00,2.00,4.00,2.00,0.00,0.00,7.00,0.00,1.10,1.10,1.00,2.20,18.00,70.00,24.00,0.11,0.11,0.22,0.11,0.22,0.06,0.06,0.12,0.06,0.12,Matches
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
,126.00,Ed Carlos,br BRA,"MF,FW",Santos,21.00,"2,001.00",4.00,0.00,36.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.06,0.11,0.17,0.06,0.17,Matches
,127.00,João Carlos,br BRA,GK,Cuiabá,34.00,"1,988.00",3.00,3.00,270.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
,128.00,Ryan Carlos,br BRA,DF,Bahia,20.00,"2,002.00",9.00,5.00,578.00,6.40,0.00,1.00,1.00,0.00,0.00,0.00,3.00,0.00,0.10,0.10,0.50,0.60,21.00,42.00,44.00,0.00,0.16,0.16,0.00,0.16,0.01,0.08,0.09,0.01,0.09,Matches
,129.00,Alan Carvalho,cn CHN,MF,Fluminense,33.00,"1,989.00",1.00,1.00,45.00,0.50,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.60,0.60,0.00,0.60,0.00,0.00,1.00,2.00,0.00,2.00,2.00,2.00,1.27,0.00,1.27,1.27,1.27,Matches
,130.00,Breno Cascardo,br BRA,MF,América (MG),19.00,"2,003.00",24.00,13.00,"1,162.00",12.90,1.00,0.00,1.00,1.00,0.00,0.00,2.00,0.00,1.30,1.30,0.50,1.80,28.00,80.00,39.00,0.08,0.00,0.08,0.08,0.08,0.10,0.04,0.14,0.10,0.14,Matches
,131.00,Cássio,br BRA,GK,Corinthians,35.00,"1,987.00",37.00,37.00,"3,310.00",36.80,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
,132.00,Luciano Castán,br BRA,DF,Cruzeiro,33.00,"1,989.00",36.00,36.00,"3,210.00",35.70,1.00,0.00,1.00,1.00,0.00,0.00,7.00,0.00,1.30,1.30,0.30,1.60,23.00,124.00,7.00,0.03,0.00,0.03,0.03,0.03,0.04,0.01,0.04,0.04,0.04,Matches
,133.00,Iury de Castilho,br BRA,FW,Cuiabá,27.00,"1,995.00",10.00,4.00,398.00,4.40,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.60,0.60,0.20,0.80,11.00,9.00,26.00,0.00,0.00,0.00,0.00,0.00,0.13,0.05,0.17,0.13,0.17,Matches
,134.00,Matheus Cavichioli,br BRA,GK,América (MG),36.00,"1,986.00",15.00,15.00,"1,348.00",15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
,135.00,Juan Cazares,ec ECU,"MF,FW",América (MG),30.00,"1,992.00",12.00,1.00,283.00,3.10,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,1.10,1.30,5.00,18.00,23.00,0.00,0.32,0.32,0.00,0.32,0.09,0.34,0.42,0.09,0.42,Matches
,136.00,Brayan Ceballos,co COL,DF,Fortaleza,21.00,"2,001.00",3.00,2.00,206.00,2.30,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.10,0.10,0.00,0.10,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
,137.00,Pablo Ceppelini,uy URU,MF,Cuiabá,31.00,"1,991.00",21.00,12.00,997.00,11.10,0.00,3.00,3.00,0.00,0.00,0.00,3.00,0.00,1.10,1.10,2.20,3.30,23.00,74.00,58.00,0.00,0.27,0.27,0.00,0.27,0.10,0.20,0.30,0.10,0.30,Matches
,138.00,Murilo Cerqueira,br BRA,DF,Palmeiras,25.00,"1,997.00",25.00,24.00,"2,165.00",24.10,3.00,2.00,5.00,3.00,0.00,0.00,6.00,1.00,1.00,1.00,1.70,2.70,14.00,81.00,1.00,0.12,0.08,0.21,0.12,0.21,0.04,0.07,0.11,0.04,0.11,Matches
,139.00,Ricardo Cerqueira,br BRA,MF,Cuiabá,20.00,"2,002.00",1.00,0.00,8.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
,140.00,Júlio César,br BRA,DF,América (MG),19.00,"2,003.00",9.00,6.00,595.00,6.60,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.20,0.20,0.00,0.30,3.00,21.00,1.00,0.00,0.15,0.15,0.00,0.15,0.03,0.01,0.04,0.03,0.04,Matches
,141.00,Reynaldo Cesar Moraes,br BRA,DF,Cruzeiro,26.00,"1,997.00",2.00,1.00,66.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
,142.00,Reynaldo Cesar Moraes,br BRA,DF,Coritiba,26.00,"1,997.00",6.00,1.00,245.00,2.70,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
,143.00,Kayky Chagas,br BRA,"FW,MF",Bahia,19.00,"2,003.00",10.00,6.00,410.00,4.60,2.00,1.00,3.00,2.00,0.00,0.00,2.00,0.00,1.50,1.50,0.60,2.10,16.00,16.00,33.00,0.44,0.22,0.66,0.44,0.66,0.32,0.14,0.45,0.32,0.45,Matches
,144.00,Jhon Chancellor,ve VEN,DF,Coritiba,31.00,"1,992.00",4.00,3.00,303.00,3.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
,145.00,Gabriel Chapecó,br BRA,GK,Grêmio,22.00,"2,000.00",31.00,31.00,"2,790.00",31.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
,146.00,Gabriel Chaves,br BRA,"FW,MF",Vasco da Gama,21.00,"2,001.00",37.00,29.00,"2,612.00",29.00,8.00,4.00,12.00,8.00,0.00,0.00,6.00,0.00,9.10,9.10,5.00,14.10,92.00,33.00,204.00,0.28,0.14,0.41,0.28,0.41,0.31,0.17,0.49,0.31,0.49,Matches
,147.00,Jhoanner Chávez,ec ECU,"DF,MF",Bahia,20.00,"2,002.00",10.00,7.00,589.00,6.50,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.20,0.20,0.50,0.70,12.00,17.00,49.00,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11,Matches
,148.00,Chiqueti,br BRA,MF,Ath Paranaense,17.00,"2,005.00",1.00,0.00,15.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
,149.00,Christian,br BRA,"MF,FW",Ath Paranaense,22.00,"2,000.00",21.00,14.00,"1,362.00",15.10,4.00,0.00,4.00,4.00,0.00,0.00,1.00,0.00,2.70,2.70,1.40,4.10,23.00,69.00,71.00,0.26,0.00,0.26,0.26,0.26,0.18,0.09,0.27,0.18,0.27,Matches
,150.00,Cicinho,bg BUL,DF,Bahia,34.00,"1,988.00",13.00,9.00,753.00,8.40,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.40,0.40,0.30,0.80,17.00,27.00,36.00,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Matches
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
,151.00,Cipriano,br BRA,DF,Bragantino,20.00,"2,002.00",1.00,1.00,75.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
,152.00,Marcelo Cirino,br BRA,"FW,MF",Ath Paranaense,31.00,"1,992.00",4.00,1.00,102.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.40,0.40,0.10,0.50,1.00,1.00,6.00,0.00,0.00,0.00,0.00,0.00,0.33,0.07,0.41,0.33,0.41,Matches
,153.00,Léo Cittadini,br BRA,MF,Bahia,28.00,"1,994.00",7.00,1.00,139.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.10,0.10,0.00,0.10,3.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
,154.00,Léo Cittadini,br BRA,"MF,FW",Ath Paranaense,28.00,"1,994.00",5.00,3.00,201.00,2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.70,0.90,3.00,8.00,7.00,0.00,0.00,0.00,0.00,0.00,0.07,0.33,0.39,0.07,0.39,Matches
,155.00,Mateus Claus,br BRA,GK,Bahia,28.00,"1,994.00",1.00,0.00,53.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
,156.00,Clayson,br BRA,"FW,MF",Cuiabá,27.00,"1,995.00",23.00,22.00,"1,639.00",18.20,7.00,2.00,9.00,4.00,3.00,3.00,3.00,1.00,4.50,2.10,1.90,4.00,50.00,68.00,124.00,0.38,0.11,0.49,0.22,0.33,0.25,0.11,0.35,0.12,0.22,Matches
