Y
1111111
1111110
1111100
1111000
1110000
1100000
1000000
0000001
0000010
0000100
0001000
0010000
0100000
1000001
0000011
0000110
0001100
0011000
0110000
1100001
1000010
0000101
0001010
0010100
0101000
1010001
0100011
1000111
0001111
0011110
0111100
1111001
1110010
1100100
1001000
0010001
0100010
1000101
0001011
0010110
0101100
1011001
0110011
1100111
1001110
0011101
0111010
1110101
1101010
1010100
0101001
1010011
0100111
1001111
0011111
0111110
1111101
1111010
1110100
1101000
1010000
0100001
1000011
0000111
0001110
0011100
0111000
1110001
1100010
1000100
0001001
0010010
0100100
1001001
0010011
0100110
1001101
0011011
0110110
1101101
1011010
0110101
1101011
1010110
0101101
1011011
0110111
1101111
1011110
0111101
1111011
1110110
1101100
1011000
0110001
1100011
1000110
0001101
0011010
0110100
1101001
1010010
0100101
1001011
0010111
0101110
1011101
0111011
1110111
1101110
1011100
0111001
1110011
1100110
1001100
0011001
0110010
1100101
1001010
0010101
0101010
1010101
0101011
1010111
0101111
1011111
0111111
1111111
1111110
1111100
1111000
1110000
1100000
1000000
0000001
0000010
0000100
0001000
0010000
0100000
1000001
0000011
0000110
0001100
0011000
0110000
1100001
1000010
0000101
0001010
0010100
0101000
1010001
0100011
1000111
0001111
0011110
0111100
1111001
1110010
1100100
1001000
0010001
0100010
1000101
0001011
0010110
0101100
1011001
0110011
1100111
1001110
0011101
0111010
1110101
1101010
1010100
0101001
1010011
0100111
1001111
0011111
0111110
1111101
1111010
1110100
1101000
1010000
0100001
1000011
0000111
0001110
0011100
0111000
1110001
1100010
1000100
0001001
0010010
0100100
1001001
0010011
0100110
1001101
0011011
0110110
1101101
1011010
0110101
1101011
1010110
0101101
1011011
0110111
1101111
1011110
0111101
1111011
1110110
1101100
1011000
0110001
1100011
1000110
0001101
0011010
0110100
1101001
1010010
0100101
1001011
0010111
0101110
1011101
0111011
1110111
1101110
1011100
0111001
1110011
1100110
1001100
0011001
0110010
1100101
1001010
0010101
0101010
1010101
0101011
